"","Ruminococcaceae","Firmicutes","Erysipelotrichaceae","Erysipelotrichaceae.1","Fusobacteriales","Alphaproteobacteria","Proteobacteria","Bacteroidetes","Bacteroidales","Campylobacter","Actinobacteria","Actinobacteria.1"
"Sample-57",312,2133,27,33,16,0,131,350,3411,0,3,17
"Sample-60",23,1657,1,13,39,0,1285,517,4274,57,7,184
"Sample-62",164,1712,0,5,2800,0,341,768,2594,0,10,188
"Sample-63",203,3941,0,0,81,0,1351,435,2626,104,4,172
"Sample-66",75,5275,0,0,272,1,46,1309,1414,165,5,85
"Sample-67",409,3127,8,1,44,0,658,507,3912,31,37,100
"Sample-72",1187,4720,0,6,289,0,124,336,1368,64,26,231
"Sample-73",1016,2620,11,12,2,0,79,198,5194,0,44,109
"Sample-75",29,6911,3,0,43,0,630,32,282,4,4,22
"Sample-76",1172,2990,1,1,0,0,327,592,2938,0,26,78
"Sample-78",34,1303,0,5,7,0,29,60,221,7,7,358
"Sample-81",100,2829,0,0,201,2,115,534,1562,462,11,296
"Sample-82",513,2061,10,8,7,0,949,152,1189,8,68,1376
"Sample-84",324,2701,1,2,25,2,698,203,3364,1,50,162
"Sample-86",385,3407,2,2,29,0,219,474,2061,34,29,85
"Sample-87",239,2382,0,1,58,0,440,617,2751,512,34,348
"Sample-89",2085,3421,2,0,1,0,121,518,1899,0,19,52
"Sample-91",527,3401,0,0,131,0,806,827,2022,177,14,115
"Sample-92",110,1395,1,0,3068,0,827,93,1969,6,82,249
"Sample-93",418,1280,3,0,0,2,3240,152,2144,1,10,100
"Sample-98",304,1017,0,1,0,0,3197,370,1281,13,27,105
