"","Ruminococcaceae","Firmicutes","Erysipelotrichaceae","Erysipelotrichaceae.1","Fusobacteriales","Alphaproteobacteria","Proteobacteria","Bacteroidetes","Bacteroidales","Campylobacter","Actinobacteria","Actinobacteria.1"
"Sample-57",0.0484999222757656,0.331571584019897,0.00419710865847971,0.00512979947147521,0.00248717550132131,0,0.0203637494170682,0.0544069640914037,0.530234727187937,0,0.000466345406497746,0.00264262397015389
"Sample-60",0.00285466054362666,0.205659674816929,0.000124115675809855,0.00161350378552811,0.00484051135658434,0,0.159488643415663,0.0641678043936949,0.530470398411319,0.00707459352116172,0.000868809730668983,0.0228372843490133
"Sample-62",0.0191097646236309,0.199487298997903,0,0.000582614775110697,0.32626427406199,0,0.0397343276625495,0.089489629457003,0.30226054532743,0,0.00116522955022139,0.0219063155441622
"Sample-63",0.0227655040933049,0.441964786363127,0,0,0.00908377256924975,0,0.151508354827857,0.048783223057082,0.29449366378827,0.0116631153975552,0.000448581361444432,0.0192889985421106
"Sample-66",0.0086735283913496,0.610038163524922,0,0,0.0314559962992946,0.000115647045217995,0.00531976408002776,0.151381982190355,0.163524921938244,0.0190817624609691,0.000578235226089973,0.00982999884352955
"Sample-67",0.0462983925741454,0.353973285035092,0.000905592030790129,0.000113199003848766,0.00498075616934571,0,0.0744849445324881,0.0573918949513244,0.442834503056373,0.00350916911931175,0.00418836314240435,0.0113199003848766
"Sample-72",0.142138666028021,0.565201772242845,0,0.000718476829122261,0.0346066339360556,0,0.0148485211351934,0.0402347024308466,0.163812717039875,0.00766375284397078,0.00311339959286313,0.027661357921207
"Sample-73",0.10942380183091,0.282175551965536,0.00118470651588584,0.0012924071082391,0.000215401184706516,0,0.00850834679590738,0.0213247172859451,0.559396876682822,0,0.00473882606354335,0.0117393645665051
"Sample-75",0.00364321608040201,0.86821608040201,0.000376884422110553,0,0.00540201005025126,0,0.0791457286432161,0.00402010050251256,0.035427135678392,0.00050251256281407,0.00050251256281407,0.00276381909547739
"Sample-76",0.144246153846154,0.368,0.000123076923076923,0.000123076923076923,0,0,0.0402461538461538,0.0728615384615385,0.3616,0,0.0032,0.0096
"Sample-78",0.016740521910389,0.641555883801083,0,0.00246184145741014,0.0034465780403742,0,0.0142786804529788,0.0295420974889217,0.108813392417528,0.0034465780403742,0.0034465780403742,0.176267848350566
"Sample-81",0.0163612565445026,0.462859947643979,0,0,0.0328861256544503,0.000327225130890052,0.018815445026178,0.087369109947644,0.255562827225131,0.0755890052356021,0.00179973821989529,0.0484293193717278
"Sample-82",0.0809020659202019,0.325027598170636,0.00157703832203123,0.00126163065762498,0.00110392682542186,0,0.149660936760763,0.0239709824948746,0.187509856489513,0.00126163065762498,0.0107238605898123,0.217000473111497
"Sample-84",0.043010752688172,0.358555688304792,0.000132749236691889,0.000265498473383778,0.00331873091729723,0.000265498473383778,0.0926589672109385,0.0269480950484535,0.446568432231515,0.000132749236691889,0.00663746183459445,0.021505376344086
"Sample-86",0.0572320499479709,0.506466478370745,0.000297309350379069,0.000297309350379069,0.00431098558049651,0,0.0325553738665081,0.0704623160398394,0.306377285565631,0.00505425895644418,0.00431098558049651,0.0126356473911105
"Sample-87",0.0323760498509889,0.322676781360065,0,0.000135464643727987,0.00785694933622325,0,0.0596044432403143,0.083581685180168,0.372663234895692,0.0693578975887293,0.00460579788675156,0.0471416960173395
"Sample-89",0.256836659275684,0.421409214092141,0.000246366100024637,0,0.000123183050012318,0,0.0149051490514905,0.0638088199063809,0.233924611973392,0,0.00234047795023405,0.00640551860064055
"Sample-91",0.06571072319202,0.424064837905237,0,0,0.0163341645885287,0,0.100498753117207,0.103117206982544,0.25211970074813,0.022069825436409,0.00174563591022444,0.0143391521197007
"Sample-92",0.0141025641025641,0.178846153846154,0.000128205128205128,0,0.393333333333333,0,0.106025641025641,0.0119230769230769,0.252435897435897,0.000769230769230769,0.0105128205128205,0.0319230769230769
"Sample-93",0.0568707482993197,0.174149659863946,0.000408163265306122,0,0,0.000272108843537415,0.440816326530612,0.0206802721088435,0.291700680272109,0.000136054421768707,0.00136054421768707,0.0136054421768707
"Sample-98",0.0481393507521774,0.16104513064133,0,0.000158353127474268,0,0,0.506254948535234,0.058590657165479,0.202850356294537,0.00205859065716548,0.00427553444180523,0.0166270783847981
