"","Type","Antigen","Month","Kernel_P","Kernel_Q","MDS1_P","MDS1_Q","MDS1_R2","MDS1_Coef"
"1","CD4+","ANY.ENV.PTEG"," 6.5","0.5930","0.793","0.612383","0.33623"," 4.92e-03","-1.83e-01"
"2","CD4+","ANY.ENV.PTEG","12.0","0.2081","0.574","0.317406","0.24366"," 2.01e-02","-3.47e-01"
"3","IgA","gp41"," 0.0","0.9903","0.990","0.631008","0.33623"," 2.78e-03"," 3.89e-01"
"4","IgA","gp41"," 6.5","0.4498","0.692","0.656980","0.33623"," 2.72e-03","-2.75e-01"
"5","IgA","gp41","12.0","0.6309","0.793","0.480515","0.29510"," 6.80e-03"," 4.90e-01"
"6","IgA","p24"," 0.0","0.9525","0.990","0.405090","0.26655","-9.32e-03"," 1.11e-02"
"7","IgA","p24"," 6.5","0.9723","0.990","0.940945","0.43340"," 7.98e-05","-4.21e-02"
"8","IgA","p24","12.0","0.6344","0.793","0.362623","0.25696"," 1.51e-02","-3.75e-01"
"9","IgG","Con.6.gp120.B"," 6.5","0.0706","0.353","0.032839","0.09814"," 1.01e-02","-7.16e+03"
"10","IgG","Con.6.gp120.B","12.0","0.0010","0.020","0.000026","0.00024"," 6.98e-02","-3.13e+01"
"11","IgG","gp41"," 0.0","0.2344","0.574","0.042616","0.09814"," 5.89e-02"," 9.01e-01"
"12","IgG","gp41"," 6.5","0.2582","0.574","0.092113","0.10607"," 4.14e-02","-7.85e-01"
"13","IgG","gp41","12.0","0.3143","0.578","0.207108","0.17344"," 9.41e-03","-8.09e+00"
"14","IgG","gp70_B.CaseA_V1_V2"," 6.5","0.3180","0.578","0.202662","0.17344"," 2.87e-02","-4.75e-01"
"15","IgG","gp70_B.CaseA_V1_V2","12.0","0.1040","0.416","0.072234","0.10077"," 3.42e-02","-1.54e+00"
"16","IgG","p24"," 0.0","0.7777","0.915","0.912793","0.43340"," 1.54e-04"," 7.90e-02"
"17","IgG","p24"," 6.5","0.0291","0.201","0.057744","0.10077"," 9.73e-04","-9.18e+39"
"18","IgG","p24","12.0","0.4194","0.692","0.146298","0.14974"," 4.91e-03","-5.87e+03"
"19","IgG","ZM96.gp140"," 6.5","0.0302","0.201","0.022090","0.09814"," 8.22e-02","-8.28e-01"
"20","IgG","ZM96.gp140","12.0","0.1764","0.574","0.076573","0.10077"," 3.34e-02","-1.50e+00"
