oldGroups,Phylum,Class,Order,Family,Genus
Acidaminococcus intestinalis/i et al.,Bacteria,Firmicutes,Selenomonadales,Acidaminococcaceae,Acidaminococcaceae
Actinobacteria,Actinobacteria,Actinobacteria,Actinobacteria,Actinobacteria,Actinobacteria
Actinomyces europaeus,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Actinomycetales.1
Actinomyces neuii,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Actinomycetales.1
Actinomyces odontolyticus,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Actinomycetales.1
Actinomyces turicensis,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Actinomycetales.1
Actinomycetales,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Actinomycetales
Adlercreutzia celatus/equolifaciens,Actinobacteria,Actinobacteria,Actinobacteria,Actinobacteria,Coriobacteriaceae.1
Aerococcus christensenii,Bacteria,Firmicutes,Bacilli,Bacilli,Bacilli
Aggregatibacter segnis,Bacteria,Proteobacteria,Proteobacteria,Gammaproteobacteria,Pasteurellaceae
Alistipes,Bacteroidetes,Bacteroidetes,Bacteroidales,Bacteroidales,Alistipes
Alistipes finegoldii,Bacteroidetes,Bacteroidetes,Bacteroidales,Bacteroidales,Bacteroidales
Alistipes finegoldii/onderdonkii,Bacteroidetes,Bacteroidetes,Bacteroidales,Bacteroidales,Bacteroidales
Alistipes indistinctus,Bacteroidetes,Bacteroidetes,Bacteroidales,Bacteroidales,Alistipes
Alistipes inops,Bacteroidetes,Bacteroidetes,Bacteroidales,Bacteroidales,Bacteroidales
Alistipes marseilloanorexicus,Bacteroidetes,Bacteroidetes,Bacteroidales,Bacteroidales,Alistipes
Alistipes massiliensis,Bacteroidetes,Bacteroidetes,Bacteroidales,Bacteroidales,Bacteroidales
Alistipes obesi,Bacteroidetes,Bacteroidetes,Bacteroidales,Bacteroidales,Bacteroidales
Alistipes putredinis,Bacteroidetes,Bacteroidetes,Bacteroidales,Bacteroidales,Bacteroidales
Alistipes shahii,Bacteroidetes,Bacteroidetes,Bacteroidales,Bacteroidales,Bacteroidales
Allisonella histaminiformans,Bacteria,Firmicutes,Selenomonadales,Veillonellaceae,Veillonellaceae
Alloscardovia omnicolens,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Bifidobacteriaceae
Alphaproteobacteria,Bacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria
Anaerococcus,Bacteria,Firmicutes,Firmicutes,Clostridiales_Incertae_Sedis_XI,Anaerococcus
Anaerococcus lactolyticus,Bacteria,Firmicutes,Firmicutes,Clostridiales_Incertae_Sedis_XI,Anaerococcus
Anaerococcus murdochii,Bacteria,Firmicutes,Firmicutes,Clostridiales_Incertae_Sedis_XI,Anaerococcus
Anaerococcus octavius,Bacteria,Firmicutes,Firmicutes,Clostridiales_Incertae_Sedis_XI,Anaerococcus
Anaerococcus prevotii/tetradius,Bacteria,Firmicutes,Firmicutes,Clostridiales_Incertae_Sedis_XI,Anaerococcus
Anaerococcus provenciensis,Bacteria,Firmicutes,Firmicutes,Clostridiales_Incertae_Sedis_XI,Anaerococcus
Anaerococcus senegalensis,Bacteria,Firmicutes,Firmicutes,Clostridiales_Incertae_Sedis_XI,Anaerococcus
