"","Firmicutes","Coriobacteriaceae","Actinobacteria","Alphaproteobacteria","Bacteroidetes","Bacteroidales","Bacteroidales.1","Bacteroidetes.1","Porphyromonadaceae","Campylobacter","Proteobacteria","Firmicutes.1","Erysipelotrichaceae","Erysipelotrichaceae.1","Fusobacteriales","Bacilli","Clostridia"
"Sample-57",113,3,17,0,49,3362,293,0,57,0,131,337,36,24,16,21,1974
"Sample-60",752,7,184,0,501,3773,484,0,33,57,1285,128,13,1,39,53,747
"Sample-62",1071,10,188,0,1658,936,745,0,23,0,341,276,5,0,2800,24,505
"Sample-63",244,4,172,0,1042,1585,417,0,18,104,1351,613,0,0,81,1293,1994
"Sample-66",4579,5,85,1,875,571,1288,0,21,165,46,421,0,0,272,126,224
"Sample-67",289,37,100,0,1904,2008,458,1,48,31,658,240,1,8,44,104,2903
"Sample-72",760,26,231,0,619,750,335,0,1,64,124,190,6,0,289,70,4887
"Sample-73",53,44,109,0,4820,375,169,0,29,0,79,268,12,11,2,50,3265
"Sample-75",1834,4,22,0,65,217,31,0,1,4,630,48,3,0,43,4891,167
"Sample-76",151,26,78,0,227,2711,547,0,45,0,327,167,1,1,0,31,3813
"Sample-78",852,7,358,0,164,58,60,0,0,7,29,60,5,0,7,69,356
"Sample-81",2000,11,296,2,1531,80,527,1,6,462,115,339,0,0,201,207,383
"Sample-82",67,68,1376,0,39,1150,150,0,2,8,949,19,8,10,7,22,2466
"Sample-84",947,50,162,2,1082,2282,196,0,7,1,698,79,2,1,25,659,1340
"Sample-86",848,29,85,0,1668,440,435,8,31,34,219,240,2,2,29,53,2651
"Sample-87",1120,34,348,0,1223,1530,570,7,40,512,440,126,1,0,58,47,1328
"Sample-89",37,19,52,0,8,1891,478,0,40,0,121,110,2,0,1,5,5354
"Sample-91",1845,14,115,0,1775,247,804,0,23,177,806,516,0,0,131,359,1208
"Sample-92",678,82,249,0,1473,496,89,0,4,6,827,135,0,1,3068,415,277
"Sample-93",30,10,100,2,779,1365,117,0,35,1,3240,79,0,3,0,3,1586
"Sample-98",133,27,105,0,29,1252,356,0,14,13,3197,28,1,0,0,24,1136
