"","Alphaproteobacteria","Bacteroidetes","Campylobacter","Proteobacteria","Bacteria"
"Sample-57",0,3761,0,131,2541
"Sample-60",0,4791,57,1285,1924
"Sample-62",0,3362,0,341,4879
"Sample-63",0,3062,104,1351,4401
"Sample-66",1,2755,165,46,5712
"Sample-67",0,4419,31,658,3726
"Sample-72",0,1705,64,124,6459
"Sample-73",0,5393,0,79,3814
"Sample-75",0,314,4,630,7012
"Sample-76",0,3530,0,327,4268
"Sample-78",0,282,7,29,1714
"Sample-81",2,2145,462,115,3437
"Sample-82",0,1341,8,949,4043
"Sample-84",2,3567,1,698,3265
"Sample-86",0,2582,34,219,3939
"Sample-87",0,3370,512,440,3062
"Sample-89",0,2417,0,121,5580
"Sample-91",0,2849,177,806,4188
"Sample-92",0,2062,6,827,4905
"Sample-93",2,2296,1,3240,1811
"Sample-98",0,1651,13,3197,1454
