"","Lachnospiraceae","Lachnospiraceae.1","Clostridiales","Clostridia","Saccharofermentans","Fastidiosipila","Clostridium_sensu_stricto","Clostridiales.1","Peptococcus.niger","Peptostreptococcaceae","Firmicutes","Clostridiales.2","Mogibacterium","Ezakiella","Parvimonas","Clostridiales_Incertae_Sedis_XI","Clostridia.1","Anaerococcus","Clostridiales.3","Clostridiales.4","Peptoniphilaceae","Firmicutes.1","Collinsella.aerofaciens","Coriobacteriaceae","Coriobacteriaceae.1","Coriobacteriaceae.2","Bifidobacteriaceae","Actinomycetales","Actinomycetales.1","Alphaproteobacteria","Paraprevotella","Prevotella","Prevotella.1","Prevotella.bergensis","Prevotella.2","Prevotella.3","Bacteroidetes","Bacteroides.plebeius","Bacteroides","Porphyromonas","Porphyromonadaceae","Porphyromonas.1","Porphyromonas.2","Parabacteroides","Porphyromonadaceae.1","Bacteroidales","Alistipes","Bacteroidetes.1","Odoribacter.splanchnicus","Butyricimonas","Porphyromonadaceae.2","Porphyromonadaceae.3","Coprobacter","Campylobacter","Pasteurellaceae","Succinivibrio","Desulfovibrionales","Pseudomonas.deceptionensis.flu.et.al.","Enterobacteriaceae","Betaproteobacteria","Veillonellaceae","Acidaminococcaceae","Erysipelotrichaceae","Holdemanella","Erysipelotrichaceae.bacterium","Holdemania.massiliensis","Fusobacterium","Leptotrichiaceae","Bacilli","Streptococcus","Lactobacillus","Firmicutes.2","Firmicutes.3","Ruminococcaceae","Clostridiales.5","Clostridiales.6","Ruminococcaceae.1","Ruminococcaceae.2","Ruminococcaceae.3","Ruminococcaceae.4","Ruminococcaceae.5","Clostridiales.7","Oscillibacter","Oscillibacter.1","Ruminococcaceae.6","Clostridiales.8","Clostridiales.9","Howardella","Clostridiales.10"
"Sample-57",0.00202083009482357,0.014145810663765,0,0,0,0,0,0,0,0.00373076325198197,0,0.000466345406497746,0,0.000621793875330328,0,0.00186538162599098,0.000310896937665164,0.000621793875330328,0.0077724234416291,0.000621793875330328,0.00155448468832582,0,0,0.000155448468832582,0.000155448468832582,0.000155448468832582,0.00217627856365615,0.000155448468832582,0.000310896937665164,0,0,0,0,0,0.00248717550132131,0.00512979947147521,0,0,0.522617752215141,0.000155448468832582,0,0,0.00077724234416291,0.000155448468832582,0,0.0444582620861185,0,0,0.00637338722213586,0.00248717550132131,0,0,0,0,0,0,0.0043525571273123,0,0.000155448468832582,0.0158557438209234,0.03792942639515,0.0144567076014301,0.00512979947147521,0,0.00373076325198197,0.000466345406497746,0.00248717550132131,0,0.000621793875330328,0.00264262397015389,0,0,0,0.00077724234416291,0,0,0,0.00155448468832582,0,0.0484999222757656,0.00186538162599098,0,0,0.00139903621949324,0.00715062956629877,0.00124358775066066,0,0,0.22819835224623
"Sample-60",0.000124115675809855,0.000744694054859129,0,0.000620578379049274,0.000124115675809855,0,0,0.000124115675809855,0,0.00186173513714782,0,0.00186173513714782,0,0.0309048032766538,0,0.00446816432915477,0.00943279136154896,0.00471639568077448,0.029043068139506,0.00173761946133797,0.00930867568573911,0,0,0,0,0.000868809730668983,0.000992925406478838,0.00024823135161971,0.0215961275909147,0,0.000124115675809855,0,0.000992925406478838,0.000868809730668983,0.0139009556907037,0.0464192627528857,0,0,0.468164329154772,0.00707459352116172,0.00732282487278143,0,0.00397170162591535,0.036738240039717,0,0.00223408216457739,0.000496462703239419,0,0.00260642919200695,0.00148938810971826,0.00024823135161971,0.00173761946133797,0.00024823135161971,0.00707459352116172,0,0,0.00024823135161971,0,0.158619833684994,0.000620578379049274,0.0155144594762318,0,0.00161350378552811,0,0.000124115675809855,0,0.00471639568077448,0.000124115675809855,0.00198585081295768,0.00459228000496463,0,0.000372347027429564,0,0,0,0,0,0.00024823135161971,0,0.00285466054362666,0.00546108973563361,0.00111704108228869,0,0.000992925406478838,0.000744694054859129,0,0,0.000124115675809855,0.0794340325183071
"Sample-62",0,0.00419482638079702,0,0,0,0,0,0,0,0.0235376369144722,0.000116522955022139,0.000815660685154976,0,0.0494057329293871,0.000116522955022139,0.00699137730132836,0,0.0076905150314612,0.000116522955022139,0.00116522955022139,0.0348403635516197,0,0,0.000233045910044279,0,0.000932183640177115,0.0135166627825682,0.00198089023537637,0.00640876252621767,0,0.000116522955022139,0,0,0,0.149032859473316,0.0441621999533908,0,0.00198089023537637,0.106968072710324,0.0132836168725239,0,0.000116522955022139,0.0665346073176416,0.00524353297599627,0,0.00116522955022139,0,0,0.00198089023537637,0.000699137730132836,0,0,0.000466091820088557,0,0,0,0.00605919366115125,0,0.0325099044511769,0.00116522955022139,0.0261011419249592,0.00594267070612911,0.000582614775110697,0,0,0,0,0.32626427406199,0,0.00256350501048707,0.000233045910044279,0.000116522955022139,0,0.000349568865066418,0,0,0,0.00268002796550921,0.000233045910044279,0.0191097646236309,0.00279655092053134,0.00990445117688185,0.00128175250524353,0.00128175250524353,0.00163132137030995,0,0,0.000349568865066418,0.015031461197856
"Sample-63",0.00145772594752187,0.000897062121551918,0,0,0,0,0,0,0,0.00672796591163938,0,0.000560663825969948,0,0.00011213276519399,0.000448531060775959,0.00448531060775959,0.0011213276519399,0.00269118636465575,0.000336398295581969,0.000448531060775959,0.010428347163041,0,0,0.000224265530387979,0.000224265530387979,0,0.00807355909396726,0.00201838977349181,0.00919488674590715,0,0.0348732899753308,0,0.000448531060775959,0,0.102265081856919,0.0140165956492487,0.00011213276519399,0,0.142857142857143,0.00011213276519399,0,0.000224265530387979,0.00011213276519399,0.032742767436645,0,0.00549450549450549,0.000224265530387979,0,0.00201838977349181,0,0,0.00784929356357928,0,0.0116618075801749,0,0,0,0,0.109553711594528,0.0419376541825521,0.0687373850639157,0,0,0,0,0,0.00897062121551918,0.00011213276519399,0.00302758466023772,0.112020632428796,0.0299394483067952,0,0,0.000224265530387979,0,0,0,0.000224265530387979,0,0.0227629513343799,0.0766988113926889,0.000560663825969948,0,0.00313971742543171,0.00403677954698363,0,0,0.000336398295581969,0.11325409284593
"Sample-66",0,0.000345661942620118,0.000115220647540039,0,0,0.000230441295080078,0,0,0.000345661942620118,0.0032261781311211,0,0.00714368014748243,0.000576103237700196,0.209240695932711,0.000115220647540039,0.0169374351883858,0.0112916234589238,0.0299573683604102,0.1764028113838,0.00564581172946192,0.0670584168683028,0,0,0,0,0.000576103237700196,0.000460882590160157,0.0026500748934209,0.00668279755732227,0.000115220647540039,0,0,0.0402120059914737,0.000345661942620118,0.0422859776471944,0.0142873602949649,0.00368706072128125,0,0.0657909897453624,0.100126742712294,0,0,0.0330683258439912,0.00391750201636133,0,0.00898721050812306,0,0,0.00218919230326074,0.000230441295080078,0,0.00218919230326074,0.000115220647540039,0.0190114068441065,0,0,0.00357184007374121,0,0.000921765180320313,0.000806544532780274,0.0430925221799747,0.00541537043438184,0,0,0,0,0.0311095748358106,0.000230441295080078,0.00103698582786035,0.0134808157621846,0,0,0,0,0,0,0.000115220647540039,0.000115220647540039,0,0.00864154856550294,0.000806544532780274,0.00138264777048047,0.000115220647540039,0.000691323885240235,0.000806544532780274,0,0,0.000115220647540039,0.0119829473441641
"Sample-67",0.000226398007697532,0.000339597011546298,0,0.000113199003848766,0.0010187910346389,0,0,0,0.000339597011546298,0.0123386914195155,0,0.00147158705003396,0,0.000339597011546298,0,0.000905592030790129,0,0.00396196513470681,0.00452796015395064,0.000792393026941363,0.00611274620783337,0.00226398007697532,0,0.00124518904233643,0.000792393026941363,0.00215078107312656,0.00939551731944759,0.000113199003848766,0.00181118406158026,0,0,0,0.0187910346388952,0.000113199003848766,0.19085352048902,0.00577314919628707,0,0,0.227303599728322,0.000226398007697532,0.00282997509621915,0.00181118406158026,0.00781073126556486,0.0364500792393027,0.000452796015395065,0.000565995019243831,0.0010187910346389,0.000113199003848766,0.00237717908082409,0.00305637310391669,0,0.000679194023092597,0,0.00350916911931175,0.000113199003848766,0,0.0108671043694815,0,0.00249037808467285,0.0610142630744849,0.0143762734887933,0.010640706361784,0.000113199003848766,0,0.000905592030790129,0,0.00486755716549694,0.000113199003848766,0.00124518904233643,0.00792393026941363,0.00260357708852162,0.00215078107312656,0,0.00249037808467285,0.000339597011546298,0,0.000792393026941363,0.00135838804618519,0.000565995019243831,0.0462983925741454,0.0113199003848766,0.00441476115010188,0.00237717908082409,0.0176590446004075,0.0289789449852841,0.000226398007697532,0,0.000113199003848766,0.209644555127915
"Sample-72",0.0087404214559387,0.0288553639846743,0,0,0.000359195402298851,0.000239463601532567,0.000957854406130268,0,0.000598659003831418,0.0183189655172414,0,0.00179597701149425,0,0.00335249042145594,0.0028735632183908,0.01352969348659,0.0014367816091954,0.00610632183908046,0.0130507662835249,0.00550766283524904,0.0214319923371648,0.00359195402298851,0,0.000718390804597701,0.000119731800766284,0.00227490421455939,0.0207136015325671,0.00454980842911877,0.00239463601532567,0,0,0,0.00335249042145594,0.000359195402298851,0.0259818007662835,0.0443007662835249,0.000119731800766284,0,0.0897988505747126,0.000838122605363985,0.0028735632183908,0.00646551724137931,0.00957854406130268,0.0174808429118774,0.000718390804597701,0.000598659003831418,0,0,0.000119731800766284,0,0.000957854406130268,0.000598659003831418,0,0.00766283524904215,0.000957854406130268,0.000119731800766284,0.000239463601532567,0,0.00119731800766284,0.0123323754789272,0.0154454022988506,0.00658524904214559,0.000718390804597701,0,0,0,0.000119731800766284,0.0344827586206897,0.00383141762452107,0.00335249042145594,0.00119731800766284,0.000718390804597701,0,0.00478927203065134,0,0,0,0.000119731800766284,0,0.142121647509579,0.0595067049808429,0.000838122605363985,0,0.000838122605363985,0.0021551724137931,0.00466954022988506,0,0.000359195402298851,0.329980842911877
"Sample-73",0.00366142580228301,0.0105535214301098,0,0,0,0,0.000107688994184794,0,0,0.00107688994184794,0,0.0018307129011415,0,0,0,0.000107688994184794,0,0.000107688994184794,0.00247684686625027,0,0.000107688994184794,0,0.0018307129011415,0.00172302390695671,0.00118457893603274,0,0.011522722377773,0,0.000215377988369589,0,0.00721516261038122,0.000323066982554383,0.514107258238208,0,0.00366142580228301,0.000861511953478355,0.000107688994184794,0,0.0331682102089167,0.000107688994184794,0,0.000215377988369589,0.000215377988369589,0.00796898556967478,0,0.00936894249407711,0.000107688994184794,0,0.00118457893603274,0.0019384018953263,0.000107688994184794,0,0.000107688994184794,0,0.000107688994184794,0,0.00290760284298945,0,0.00236915787206547,0.00312298083135904,0.000107688994184794,0.0207839758776653,0.00129226793021753,0.00118457893603274,0,0,0.000215377988369589,0,0.000430755976739177,0.00495369373250054,0,0.00796898556967478,0,0.00592289468016369,0,0.0152918371742408,0,0.00473831574413095,0,0.109412018091751,0.00075382295929356,0.0116304113719578,0.00269222485461986,0.00150764591858712,0.00215377988369589,0,0,0.00075382295929356,0.182425156149042
"Sample-75",0,0,0,0,0,0,0,0,0,0.0345477386934673,0,0.000125628140703518,0,0.00050251256281407,0.180025125628141,0.00753768844221105,0,0.00113065326633166,0.00100502512562814,0.000251256281407035,0.00527638190954774,0,0.000376884422110553,0,0,0.000125628140703518,0.000251256281407035,0.00138190954773869,0.00113065326633166,0,0,0,0.000125628140703518,0,0.0071608040201005,0.000879396984924623,0,0.000251256281407035,0.0270100502512563,0.000376884422110553,0,0,0,0.00326633165829146,0,0.000251256281407035,0,0,0,0.000125628140703518,0,0,0,0.00050251256281407,0.014070351758794,0,0,0,0.0641959798994975,0.000879396984924623,0.00590452261306533,0,0,0,0,0.000376884422110553,0.00464824120603015,0.000753768844221105,0.0712311557788945,0.54321608040201,0,0.000125628140703518,0,0.000125628140703518,0,0,0,0,0,0.00364321608040201,0.0138190954773869,0,0,0,0.000251256281407035,0,0,0,0.00314070351758794
"Sample-76",0.0048,0.0286769230769231,0.000615384615384615,0.000738461538461538,0,0,0,0,0,0.000738461538461538,0,0.00147692307692308,0,0,0.000246153846153846,0.00430769230769231,0,0.00578461538461538,0.000123076923076923,0.00135384615384615,0.00455384615384615,0,0,0.000615384615384615,0.000861538461538462,0.00172307692307692,0.00849230769230769,0.000123076923076923,0.000984615384615385,0,0.00861538461538462,0,0.000123076923076923,0,0.0276923076923077,0.000123076923076923,0,0,0.325046153846154,0.000123076923076923,0,0.000123076923076923,0,0.0206769230769231,0,0.0374153846153846,0.000492307692307692,0,0.0048,0.000738461538461538,0,0.00812307692307692,0.000369230769230769,0,0,0.0267076923076923,0.00258461538461538,0,0.00689230769230769,0.00406153846153846,0.0164923076923077,0,0.000123076923076923,0,0.000123076923076923,0,0,0,0.000246153846153846,0.00356923076923077,0,0.00406153846153846,0,0.00344615384615385,0.00196923076923077,0.0032,0.000123076923076923,0.0257230769230769,0.000246153846153846,0.144246153846154,0.0253538461538462,0.00455384615384615,0.00196923076923077,0.00147692307692308,0.0110769230769231,0,0,0,0.211076923076923
