"","Firmicutes","Coriobacteriaceae","Actinobacteria","Alphaproteobacteria","Bacteroidetes","Bacteroidales","Bacteroidales.1","Bacteroidetes.1","Porphyromonadaceae","Campylobacter","Proteobacteria","Firmicutes.1","Erysipelotrichaceae","Erysipelotrichaceae.1","Fusobacteriales","Bacilli","Clostridia"
"Sample-57",0.0175656769780818,0.000466345406497746,0.00264262397015389,0,0.00761697497279652,0.522617752215141,0.0455464013679465,0,0.00886056272345717,0,0.0203637494170682,0.0523861339965801,0.00559614487797295,0.00373076325198197,0.00248717550132131,0.00326441784548422,0.306855277475517
"Sample-60",0.0933349882090108,0.000868809730668983,0.0228372843490133,0,0.0621819535807372,0.468288444830582,0.0600719870919697,0,0.00409581730172521,0.00707459352116172,0.159488643415663,0.0158868065036614,0.00161350378552811,0.000124115675809855,0.00484051135658434,0.0065781308179223,0.0927144098299615
"Sample-62",0.124796084828711,0.00116522955022139,0.0219063155441622,0,0.193195059426707,0.109065485900722,0.0868096014914938,0,0.00268002796550921,0,0.0397343276625495,0.0321603355861105,0.000582614775110697,0,0.32626427406199,0.00279655092053134,0.0588440922861804
"Sample-63",0.0273603947073335,0.000448531060775959,0.0192868356133662,0,0.116842341332137,0.177730432832474,0.0467593630858937,0,0.00201838977349181,0.0116618075801749,0.15149136577708,0.0687373850639157,0,0,0.00908275398071316,0.144987665395829,0.223592733796815
"Sample-66",0.527595345085839,0.000576103237700196,0.00979375504090333,0.000115220647540039,0.100818066597534,0.0657909897453624,0.14840419403157,0,0.00241963359834082,0.0190114068441065,0.0053001497868418,0.0485078926143565,0,0,0.0313400161308907,0.0145178015900449,0.0258094250489688
"Sample-67",0.0327145121122934,0.00418836314240435,0.0113199003848766,0,0.215530903328051,0.227303599728322,0.0518451437627349,0.000113199003848766,0.00543355218474077,0.00350916911931175,0.0744849445324881,0.0271677609237039,0.000113199003848766,0.000905592030790129,0.00498075616934571,0.0117726964002717,0.328616708172968
"Sample-72",0.0909961685823755,0.00311302681992337,0.0276580459770115,0,0.0741139846743295,0.0897988505747126,0.040110153256705,0,0.000119731800766284,0.00766283524904215,0.0148467432950192,0.0227490421455939,0.000718390804597701,0,0.0346024904214559,0.00838122605363985,0.585129310344828
"Sample-73",0.0057075166917941,0.00473831574413095,0.0117381003661426,0,0.519060951970709,0.0403833728192979,0.0181994400172302,0,0.00312298083135904,0,0.00850743054059875,0.0288606504415249,0.00129226793021753,0.00118457893603274,0.000215377988369589,0.00538444970923972,0.351604566013353
"Sample-75",0.230402010050251,0.00050251256281407,0.00276381909547739,0,0.00816582914572864,0.0272613065326633,0.00389447236180905,0,0.000125628140703518,0.00050251256281407,0.0791457286432161,0.00603015075376884,0.000376884422110553,0,0.00540201005025126,0.614447236180905,0.0209798994974874
"Sample-76",0.0185846153846154,0.0032,0.0096,0,0.0279384615384615,0.333661538461538,0.0673230769230769,0,0.00553846153846154,0,0.0402461538461538,0.0205538461538462,0.000123076923076923,0.000123076923076923,0,0.00381538461538462,0.469292307692308
