"","Type","Antigen","Month","Kernel_P","Kernel_Q","MDS1_P","MDS1_Q","GlmMDS1_R2","MDS1_Coef"
"1","CD4+","ANY.ENV.PTEG"," 6.5","0.30008","0.564","0.25791","0.2149","0.04404","-0.859"
"2","CD4+","ANY.ENV.PTEG","12.0","0.28611","0.564","0.25025","0.2149","0.04768","-0.877"
"3","IgA","gp41"," 0.0","0.96684","0.967","0.77557","0.3878","0.00280"," 0.210"
"4","IgA","gp41"," 6.5","0.24312","0.564","0.14055","0.1757","0.07473","-1.150"
"5","IgA","gp41","12.0","0.74462","0.931","0.76828","0.3878","0.00313","-0.219"
"6","IgA","p24"," 0.0","0.88191","0.956","0.24667","0.2149","0.04618"," 0.889"
"7","IgA","p24"," 6.5","0.90803","0.956","0.64261","0.3874","0.00741","-0.342"
"8","IgA","p24","12.0","0.42824","0.612","0.48168","0.3211","0.01786","-0.529"
"9","IgG","Con.6.gp120.B"," 6.5","0.00718","0.144","0.00284","0.0284","0.30649","-2.911"
"10","IgG","Con.6.gp120.B","12.0","0.06214","0.234","0.01406","0.0375","0.20749","-2.167"
"11","IgG","gp41"," 0.0","0.06958","0.234","0.02040","0.0408","0.18501"," 2.037"
"12","IgG","gp41"," 6.5","0.07020","0.234","0.04346","0.0724","0.14029","-1.672"
"13","IgG","gp41","12.0","0.62836","0.838","0.69736","0.3874","0.00520","-0.286"
"14","IgG","gp70_B.CaseA_V1_V2"," 6.5","0.90412","0.956","0.68723","0.3874","0.00558","-0.296"
"15","IgG","gp70_B.CaseA_V1_V2","12.0","0.03648","0.234","0.01046","0.0375","0.22550","-2.299"
"16","IgG","p24"," 0.0","0.16675","0.476","0.47711","0.3211","0.01739","-0.528"
"17","IgG","p24"," 6.5","0.36816","0.612","0.30939","0.2380","0.03727","-0.906"
"18","IgG","p24","12.0","0.31021","0.564","0.13357","0.1757","0.07743","-1.173"
"19","IgG","ZM96.gp140"," 6.5","0.02420","0.234","0.01501","0.0375","0.20352","-2.138"
"20","IgG","ZM96.gp140","12.0","0.40990","0.612","0.19758","0.2149","0.05712","-0.989"
