"","Clostridia","Firmicutes","Anaerococcus","Clostridia.1","Clostridiales","Firmicutes.1","Coriobacteriaceae","Actinobacteria","Alphaproteobacteria","Paraprevotella","Prevotella","Prevotella.1","Bacteroidetes","Bacteroides","Porphyromonadaceae","Porphyromonadaceae.1","Porphyromonadaceae.2","Bacteroidales","Bacteroidetes.1","Porphyromonadaceae.3","Porphyromonadaceae.4","Campylobacter","Desulfovibrionales","Gammaproteobacteria","Betaproteobacteria","Veillonellaceae","Acidaminococcaceae","Erysipelotrichaceae","Erysipelotrichaceae.1","Holdemania.massiliensis","Fusobacterium","Leptotrichiaceae","Bacilli","Firmicutes.2","Ruminococcaceae","Clostridiales.1"
"Sample-57",0,27,4,68,14,0,3,17,0,0,0,49,0,3362,5,2,0,286,0,57,0,0,28,1,102,244,93,33,24,3,16,0,21,0,312,1662
"Sample-60",7,30,38,595,89,0,7,184,0,1,0,501,0,3772,91,353,0,22,0,33,18,57,2,1278,5,125,0,13,1,0,38,1,53,3,23,717
"Sample-62",0,210,66,486,309,0,10,188,0,1,0,1658,0,935,572,159,0,10,0,23,4,0,52,279,10,224,51,5,0,0,0,2800,24,1,164,341
"Sample-63",0,65,24,58,97,0,4,172,0,311,0,1041,1,1274,3,293,0,51,0,18,70,104,0,977,374,613,0,0,0,0,80,1,1293,0,203,1791
"Sample-66",5,95,260,3593,631,0,5,85,1,0,0,843,32,571,287,903,0,78,0,21,20,165,31,8,7,374,47,0,0,0,270,2,126,0,75,144
"Sample-67",13,122,35,51,61,20,37,100,0,0,0,1904,0,2008,110,324,4,14,1,48,6,31,96,23,539,127,94,1,8,0,43,1,104,19,409,2481
"Sample-72",18,168,51,286,225,30,26,231,0,0,0,618,1,750,158,153,6,5,0,1,13,64,2,19,103,129,55,6,0,0,1,288,70,6,1187,3682
"Sample-73",1,27,1,24,1,0,44,109,0,67,3,4816,1,308,4,75,0,88,0,29,2,0,27,23,29,1,193,12,11,0,2,0,50,74,1016,2248
"Sample-75",0,276,9,1505,44,0,4,22,0,0,0,65,0,217,0,29,0,2,0,1,0,4,0,623,7,47,0,0,0,3,37,6,4891,1,29,138
"Sample-76",6,18,47,38,48,0,26,78,0,70,0,227,0,2641,1,169,0,308,0,45,69,0,21,273,33,134,0,1,1,0,0,0,31,33,1172,2635
"Sample-78",10,13,177,406,256,0,7,358,0,1,0,163,1,57,8,49,0,3,0,0,0,7,0,25,4,52,8,5,0,0,1,6,69,0,34,312
"Sample-81",1,181,196,927,696,0,11,296,2,1,0,1482,49,79,162,336,7,21,1,6,1,462,13,46,56,298,39,0,0,0,201,0,207,2,100,282
"Sample-82",3,9,8,30,20,0,68,1376,0,0,0,39,0,1150,1,143,0,4,0,2,2,8,3,766,180,13,1,8,10,0,6,1,22,5,513,1950
"Sample-84",53,102,128,559,158,0,50,162,2,4,0,1082,0,2278,8,95,0,72,0,7,21,1,7,561,130,21,34,2,1,0,24,1,659,24,324,963
"Sample-86",29,110,34,502,129,73,29,85,0,1,3,1618,47,439,263,131,3,38,8,31,0,34,25,118,76,25,183,2,2,0,25,4,53,32,385,2237
"Sample-87",9,174,153,361,363,69,34,348,0,39,0,1221,2,1491,285,119,0,129,7,40,37,512,17,181,242,56,64,1,0,0,57,1,47,6,239,1080
"Sample-89",5,21,3,7,6,0,19,52,0,1,0,8,0,1890,8,154,0,239,0,40,77,0,4,25,92,0,108,0,0,2,1,0,5,2,2085,3264
"Sample-91",3,95,159,1263,328,0,14,115,0,0,0,1775,0,247,390,238,0,144,0,23,32,177,7,771,28,505,1,0,0,0,130,1,359,10,527,678
"Sample-92",0,374,41,210,51,2,82,249,0,0,1,1472,0,496,13,68,0,5,0,4,3,6,7,813,7,131,4,0,1,0,65,3003,415,0,110,167
"Sample-93",11,3,2,22,3,0,10,100,2,20,0,779,0,1345,0,88,0,21,0,35,8,1,27,2972,241,4,55,0,3,0,0,0,3,20,418,1157
"Sample-98",8,24,19,59,29,2,27,105,0,2,0,29,0,1250,64,159,0,70,0,14,63,13,13,3184,0,16,0,1,0,0,0,0,24,12,304,824
