"","Type","Antigen","Month","Kernel_P","Kernel_Q","MDS1_P","MDS1_Q","MDS1_R2","MDS1_Coef"
"1","CD4+","ANY.ENV.PTEG"," 6.5","0.57706","0.8244","5.97e-01","0.081016"," 0.005356","-1.91e-01"
"2","CD4+","ANY.ENV.PTEG","12.0","0.22590","0.6454","3.93e-01","0.066400"," 0.014798","-2.99e-01"
"3","IgA","gp41"," 0.0","0.99496","0.9950","6.82e-01","0.085855"," 0.002030"," 3.33e-01"
"4","IgA","gp41"," 6.5","0.40409","0.6735","5.13e-01","0.077462"," 0.005872","-4.03e-01"
"5","IgA","gp41","12.0","0.70403","0.8623","6.08e-01","0.081016"," 0.003630"," 3.57e-01"
"6","IgA","p24"," 0.0","0.93423","0.9950","3.58e-01","0.066400","-0.011312"," 1.22e-02"
"7","IgA","p24"," 6.5","0.96978","0.9950","8.50e-01","0.096367"," 0.000518","-1.07e-01"
"8","IgA","p24","12.0","0.64226","0.8563","4.10e-01","0.066400"," 0.012410","-3.39e-01"
"9","IgG","Con.6.gp120.B"," 6.5","0.10569","0.4479","4.90e-02","0.024465"," 0.008752","-6.71e+03"
"10","IgG","Con.6.gp120.B","12.0","0.00108","0.0216","5.37e-05","0.000122"," 0.065793","-3.06e+01"
"11","IgG","gp41"," 0.0","0.31776","0.6522","5.41e-02","0.024465"," 0.053624"," 8.65e-01"
"12","IgG","gp41"," 6.5","0.35444","0.6522","1.02e-01","0.029004"," 0.039081","-7.65e-01"
"13","IgG","gp41","12.0","0.35870","0.6522","1.98e-01","0.044964"," 0.009769","-8.24e+00"
"14","IgG","gp70_B.CaseA_V1_V2"," 6.5","0.34933","0.6522","2.82e-01","0.058220"," 0.020649","-4.05e-01"
"15","IgG","gp70_B.CaseA_V1_V2","12.0","0.11198","0.4479","7.55e-02","0.024465"," 0.033457","-1.52e+00"
"16","IgG","p24"," 0.0","0.73295","0.8623","8.10e-01","0.096367"," 0.000745"," 1.74e-01"
"17","IgG","p24"," 6.5","0.02194","0.2194","2.82e-02","0.021275"," 0.001266","-1.06e+40"
"18","IgG","p24","12.0","0.47003","0.7231","1.24e-01","0.031275"," 0.005464","-6.18e+03"
"19","IgG","ZM96.gp140"," 6.5","0.04365","0.2910","2.49e-02","0.021275"," 0.079338","-8.16e-01"
"20","IgG","ZM96.gp140","12.0","0.21742","0.6454","6.52e-02","0.024465"," 0.035977","-1.56e+00"
