oldGroups,Phylum,Class,Order,Family,Genus
/ et al.,Proteobacteria,Proteobacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriaceae
Acidaminococcus intestinalis/i et al.,Bacteria,Firmicutes,Firmicutes.1,Acidaminococcaceae,Acidaminococcaceae
Actinomyces europaeus,Bacteria,Actinobacteria,Actinobacteria,Actinobacteria,Actinomycetales.1
Actinomyces neuii,Bacteria,Actinobacteria,Actinobacteria,Actinobacteria,Actinomycetales.1
Actinomyces odontolyticus,Bacteria,Actinobacteria,Actinobacteria,Actinobacteria,Actinomycetales.1
Actinomyces turicensis,Bacteria,Actinobacteria,Actinobacteria,Actinobacteria,Actinomycetales.1
Actinomycetales,Bacteria,Actinobacteria,Actinobacteria,Actinobacteria,Actinomycetales
Adlercreutzia celatus/equolifaciens,Bacteria,Coriobacteriaceae,Coriobacteriaceae,Coriobacteriaceae,Coriobacteriaceae.1
Aerococcus christensenii,Bacteria,Firmicutes,Bacilli,Bacilli,Bacilli
Aggregatibacter segnis,Proteobacteria,Proteobacteria,Proteobacteria,Gammaproteobacteria,Pasteurellaceae
Alistipes,Bacteroidetes,Bacteroidales,Bacteroidales.1,Bacteroidales,Alistipes
Alistipes finegoldii,Bacteroidetes,Bacteroidales,Bacteroidales.1,Bacteroidales,Bacteroidales
Alistipes finegoldii/onderdonkii,Bacteroidetes,Bacteroidales,Bacteroidales.1,Bacteroidales,Bacteroidales
Alistipes indistinctus,Bacteroidetes,Bacteroidales,Bacteroidales.1,Bacteroidales,Alistipes
Alistipes inops,Bacteroidetes,Bacteroidales,Bacteroidales.1,Bacteroidales,Bacteroidales
Alistipes marseilloanorexicus,Bacteroidetes,Bacteroidales,Bacteroidales.1,Bacteroidales,Alistipes
Alistipes massiliensis,Bacteroidetes,Bacteroidales,Bacteroidales.1,Bacteroidales,Bacteroidales
Alistipes obesi,Bacteroidetes,Bacteroidales,Bacteroidales.1,Bacteroidales,Bacteroidales
Alistipes putredinis,Bacteroidetes,Bacteroidales,Bacteroidales.1,Bacteroidales,Bacteroidales
Alistipes shahii,Bacteroidetes,Bacteroidales,Bacteroidales.1,Bacteroidales,Bacteroidales
Allisonella histaminiformans,Bacteria,Firmicutes,Firmicutes.1,Veillonellaceae,Veillonellaceae
Alloscardovia omnicolens,Bacteria,Actinobacteria,Actinobacteria,Actinobacteria,Bifidobacteriaceae
Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria
Anaerococcus,Bacteria,Firmicutes,Firmicutes,Anaerococcus,Anaerococcus
Anaerococcus lactolyticus,Bacteria,Firmicutes,Firmicutes,Anaerococcus,Anaerococcus
Anaerococcus murdochii,Bacteria,Firmicutes,Firmicutes,Anaerococcus,Anaerococcus
Anaerococcus octavius,Bacteria,Firmicutes,Firmicutes,Anaerococcus,Anaerococcus
Anaerococcus prevotii/tetradius,Bacteria,Firmicutes,Firmicutes,Anaerococcus,Anaerococcus
Anaerococcus provenciensis,Bacteria,Firmicutes,Firmicutes,Anaerococcus,Anaerococcus
Anaerococcus senegalensis,Bacteria,Firmicutes,Firmicutes,Anaerococcus,Anaerococcus
Anaerococcus vaginalis,Bacteria,Firmicutes,Firmicutes,Anaerococcus,Anaerococcus
Anaerococcus.1,Bacteria,Firmicutes,Firmicutes,Anaerococcus,Anaerococcus
Anaerococcus.2,Bacteria,Firmicutes,Firmicutes,Anaerococcus,Anaerococcus
Anaerococcus.3,Bacteria,Firmicutes,Firmicutes,Anaerococcus,Anaerococcus
Anaerococcus.4,Bacteria,Firmicutes,Firmicutes,Anaerococcus,Anaerococcus
Anaerostipes,Bacteria,Firmicutes,Clostridia,Clostridiales.1,Clostridiales.10
Anaerostipes hadrus,Bacteria,Firmicutes,Clostridia,Clostridiales.1,Clostridiales.10
Anaerotruncus colihominis,Bacteria,Firmicutes,Clostridia,Clostridiales.1,Ruminococcaceae.2
Arcanobacterium,Bacteria,Actinobacteria,Actinobacteria,Actinobacteria,Actinomycetales.1
Arthrobacter albus/cumminsii,Bacteria,Actinobacteria,Actinobacteria,Actinobacteria,Actinomycetales.1
Atopobium deltae,Bacteria,Coriobacteriaceae,Coriobacteriaceae,Coriobacteriaceae,Coriobacteriaceae.2
Atopobium fossor/minutum,Bacteria,Coriobacteriaceae,Coriobacteriaceae,Coriobacteriaceae,Coriobacteriaceae.2
Atopobium vaginae,Bacteria,Coriobacteriaceae,Coriobacteriaceae,Coriobacteriaceae,Coriobacteriaceae.2
Bacteroides,Bacteroidetes,Bacteroidetes,Bacteroidales,Bacteroides,Bacteroides
Bacteroides caccae,Bacteroidetes,Bacteroidetes,Bacteroidales,Bacteroides,Bacteroides
Bacteroides cellulosilyticus/t et al.,Bacteroidetes,Bacteroidetes,Bacteroidales,Bacteroides,Bacteroides
Bacteroides clarus,Bacteroidetes,Bacteroidetes,Bacteroidales,Bacteroides,Bacteroides
Bacteroides coprocola,Bacteroidetes,Bacteroidetes,Bacteroidales,Bacteroides,Bacteroides
Bacteroides dorei,Bacteroidetes,Bacteroidetes,Bacteroidales,Bacteroides,Bacteroides
Bacteroides dorei/fragilis,Bacteroidetes,Bacteroidetes,Bacteroidales,Bacteroides,Bacteroides
Bacteroides dorei/stercoris,Bacteroidetes,Bacteroidetes,Bacteroidales,Bacteroides,Bacteroides
Bacteroides dorei/vulgatus,Bacteroidetes,Bacteroidetes,Bacteroidales,Bacteroides,Bacteroides
Bacteroides eggerthii,Bacteroidetes,Bacteroidetes,Bacteroidales,Bacteroides,Bacteroides
Bacteroides faecichinchillae/f et al.,Bacteroidetes,Bacteroidetes,Bacteroidales,Bacteroides,Bacteroides
Bacteroides finegoldii,Bacteroidetes,Bacteroidetes,Bacteroidales,Bacteroides,Bacteroides
Bacteroides massiliensis,Bacteroidetes,Bacteroidetes,Bacteroidales,Bacteroides,Bacteroides
Bacteroides ovatus,Bacteroidetes,Bacteroidetes,Bacteroidales,Bacteroides,Bacteroides
Bacteroides ovatus.1,Bacteroidetes,Bacteroidetes,Bacteroidales,Bacteroides,Bacteroides
Bacteroides ovatus.2,Bacteroidetes,Bacteroidetes,Bacteroidales,Bacteroides,Bacteroides
Bacteroides ovatus/xylanisolvens,Bacteroidetes,Bacteroidetes,Bacteroidales,Bacteroides,Bacteroides
Bacteroides plebeius,Bacteroidetes,Bacteroidetes,Bacteroidales,Bacteroides,Bacteroides plebeius
Bacteroides plebeius.1,Bacteroidetes,Bacteroidetes,Bacteroidales,Bacteroides,Bacteroides plebeius
Bacteroides salyersiae,Bacteroidetes,Bacteroidetes,Bacteroidales,Bacteroides,Bacteroides
Bacteroides uniformis,Bacteroidetes,Bacteroidetes,Bacteroidales,Bacteroides,Bacteroides
Bacteroides uniformis.1,Bacteroidetes,Bacteroidetes,Bacteroidales,Bacteroides,Bacteroides
Bacteroides vulgatus,Bacteroidetes,Bacteroidetes,Bacteroidales,Bacteroides,Bacteroides
Bacteroides vulgatus.1,Bacteroidetes,Bacteroidetes,Bacteroidales,Bacteroides,Bacteroides
Bacteroides.1,Bacteroidetes,Bacteroidetes,Bacteroidales,Bacteroides,Bacteroides
Bacteroides.2,Bacteroidetes,Bacteroidetes,Bacteroidales,Bacteroides,Bacteroides
Bacteroides.3,Bacteroidetes,Bacteroidetes,Bacteroidales,Bacteroides,Bacteroides
Bacteroidetes,Bacteroidetes,Bacteroidetes,Bacteroidetes,Bacteroidetes,Bacteroidetes
Bacteroidetes.1,Bacteroidetes,Bacteroidetes.1,Bacteroidetes.1,Bacteroidetes.1,Bacteroidetes.1
Barnesiella,Bacteroidetes,Bacteroidales,Bacteroidales.1,Porphyromonadaceae.4,Porphyromonadaceae.3
Barnesiella.1,Bacteroidetes,Bacteroidales,Bacteroidales.1,Porphyromonadaceae.4,Porphyromonadaceae.3
Barnesiella.2,Bacteroidetes,Bacteroidales,Bacteroidales.1,Porphyromonadaceae.4,Porphyromonadaceae.3
Barnesiella.3,Bacteroidetes,Bacteroidales,Bacteroidales.1,Porphyromonadaceae.4,Porphyromonadaceae.3
