"","Gammaproteobacteria","Desulfovibrionales","Betaproteobacteria","Campylobacter","Porphyromonadaceae","Bacteroidetes","Porphyromonadaceae.1","Bacteroidetes.1","Bacteroidetes.2","Bacteroidetes.3","Porphyromonadaceae.2","Porphyromonadaceae.3","Alloprevotella","Prevotella","Bacteroidetes.4","Prevotella.1","Paraprevotella","Bacteroides","Actinobacteria","Actinobacteria.1","Firmicutes","Clostridiales","Alphaproteobacteria","Firmicutes.1","Veillonellaceae","Acidaminococcaceae","Firmicutes.2","Erysipelotrichaceae","Erysipelotrichaceae.1","Fusobacterium","Leptotrichiaceae","Firmicutes.3","Clostridia","Anaerococcus","Firmicutes.4","Clostridiales.1","Clostridiales.2","Ruminococcaceae","Firmicutes.5"
"Sample-57",1,28,102,0,0,0,57,286,0,0,5,2,0,49,0,0,0,3362,3,17,0,0,0,0,244,93,21,24,33,16,0,0,82,4,27,0,408,0,1578
"Sample-60",1278,2,5,57,18,0,33,31,16,0,91,356,0,498,0,0,1,3772,7,184,0,0,0,3,125,0,53,1,13,38,1,0,684,38,30,1,93,0,654
"Sample-62",279,52,10,0,4,0,23,10,0,1,572,161,0,1585,0,0,1,963,10,188,0,0,0,2,224,51,24,0,5,0,2800,0,795,66,210,0,343,0,168
"Sample-63",977,0,374,104,71,0,18,51,0,0,3,341,0,1041,1,0,311,1274,4,172,0,1,0,0,613,0,1304,0,0,80,1,0,155,24,65,0,960,0,1072
"Sample-66",8,31,7,165,20,0,21,78,0,0,287,903,0,893,32,0,0,571,5,85,0,3,1,0,377,47,126,0,0,2,2,0,4224,260,95,2,110,0,111
"Sample-67",23,96,539,31,26,1,48,27,4,0,110,324,1,1907,0,0,0,2008,37,100,0,3,0,19,127,94,104,8,1,43,1,20,112,35,122,9,1034,0,1866
"Sample-72",19,2,103,64,13,0,1,5,6,0,158,153,0,617,1,0,0,750,26,231,0,6,0,6,132,55,72,0,6,1,288,30,511,51,178,5,1798,0,3080
"Sample-73",23,24,29,0,186,0,29,96,0,0,4,75,460,5030,1,3,96,308,46,109,5,0,0,74,6,190,50,11,12,2,0,0,25,4,27,0,1432,0,1885
"Sample-75",623,0,7,4,0,0,1,2,0,0,0,29,1,65,0,0,0,217,5,22,0,0,0,1,47,0,4891,0,0,29,6,0,1549,9,276,0,142,0,25
"Sample-76",275,21,34,0,69,0,45,308,0,0,1,169,0,227,0,0,70,2641,26,78,0,0,0,33,134,0,51,1,1,0,0,0,86,47,18,0,1808,0,2022
"Sample-78",25,0,4,7,0,0,0,7,10,0,8,49,0,163,1,0,1,57,7,371,0,0,0,0,52,8,69,0,5,1,6,0,662,177,13,8,144,0,210
"Sample-81",46,13,56,462,1,1,6,21,7,0,162,336,0,1484,49,0,1,79,11,296,0,0,2,2,301,39,167,0,0,201,0,0,1623,166,181,1,208,0,176
"Sample-82",766,3,180,8,2,0,2,4,0,0,1,143,0,39,0,0,0,1150,68,1376,0,0,0,5,13,1,22,10,8,7,1,0,50,8,10,0,700,0,1770
"Sample-84",561,7,130,1,21,0,7,72,0,0,8,98,0,1083,0,0,15,2281,50,162,0,0,2,27,20,34,659,1,2,24,1,0,717,128,103,0,673,0,703
"Sample-86",118,2,76,34,89,8,31,38,3,1,263,131,0,1924,47,3,1,439,33,85,2,3,0,36,17,141,51,2,6,25,4,73,631,33,145,1,1361,2,1356
"Sample-87",181,17,242,512,37,7,46,129,0,0,285,119,0,1221,2,0,40,1512,34,348,0,10,0,6,56,63,53,0,1,57,1,69,724,153,175,0,597,0,732
"Sample-89",25,4,95,0,77,0,68,241,0,0,8,154,0,9,0,0,1,2070,19,52,0,0,0,2,0,108,6,0,0,1,0,0,13,3,22,0,2992,1,2378
"Sample-91",771,7,28,177,32,0,23,144,0,0,390,238,0,1775,0,0,0,248,14,115,2,1,0,10,505,1,359,0,0,130,1,0,1591,159,95,0,656,0,574
"Sample-92",813,7,7,6,3,0,4,5,0,0,13,68,0,1473,0,1,0,496,82,249,0,0,0,0,130,4,415,1,0,64,3003,2,261,41,374,0,247,0,40
"Sample-93",2972,21,241,1,8,0,35,21,0,0,0,88,0,779,0,0,26,1345,11,100,1,0,2,22,5,55,3,3,0,0,0,0,25,2,5,0,714,0,900
"Sample-98",3186,13,0,13,63,0,24,70,0,0,64,159,0,29,0,0,2,1356,27,105,0,0,0,13,16,0,24,0,1,0,0,2,88,19,24,1,647,2,491
