"","Clostridium_XlVb","Howardella","Clostridiales","Pasteurellaceae","Succinivibrio","Enterobacteriaceae","Pseudomonas.deceptionensis.flu.et.al.","Desulfovibrionales","Betaproteobacteria","Campylobacter","Porphyromonadaceae","Porphyromonadaceae.1","Porphyromonadaceae.2","Coprobacter","Bacteroidetes","Odoribacter","Butyricimonas","Bacteroidetes.1","Alistipes","Bacteroidales","Bacteroidetes.2","Bacteroidetes.3","Porphyromonas","Porphyromonas.1","Porphyromonas.2","Porphyromonadaceae.3","Parabacteroides","Alloprevotella","Prevotella","Prevotella.1","Prevotella.bergensis","Prevotella.2","Prevotella.3","Bacteroidetes.4","Prevotella.4","Paraprevotella","Bacteroides","Bacteroides.plebeius","Actinobacteria","Collinsella.aerofaciens","Coriobacteriaceae","Coriobacteriaceae.1","Slackia.isoflavoniconvertens","Coriobacteriaceae.2","Bifidobacteriaceae","Actinomycetales","Actinomycetales.1","Clostridiales.1","Firmicutes","Clostridiales.2","Firmicutes.1","Firmicutes.2","Clostridiales.3","Peptococcus.niger","Eubacteriaceae","Alphaproteobacteria","Firmicutes.3","Firmicutes.4","Veillonellaceae","Veillonellaceae.1","Acidaminococcaceae","Firmicutes.5","Lactobacillus","Streptococcaceae","Holdemanella","Erysipelotrichaceae.bacterium","Erysipelotrichaceae","Fusobacterium","Leptotrichiaceae","Firmicutes.6","Clostridia","Clostridiales_Incertae_Sedis_XI","Clostridiales.4","Ezakiella","Anaerococcus","Clostridiales.5","Peptoniphilus","Peptoniphilus.1","Mogibacterium","Firmicutes.7","Peptostreptococcaceae","Clostridiales.6","Clostridiales.7","Fastidiosipila","Saccharofermentans","Ruminococcaceae","Ruminococcaceae.1","Ruminococcaceae.2","Ruminococcaceae.3","Ruminococcaceae.4","Ruminococcaceae.5","Ruminococcaceae.6","Ruminococcaceae.7","Ruminococcaceae.8","Clostridiales.8","Ruminococcaceae.9","Ruminococcaceae.10","Clostridiales.9","Oscillibacter","Oscillibacter.1","Clostridiales.10","Clostridiales.11","Clostridiales.12","Lachnospiraceae"
"Sample-57",0,0,605,0,0,1,0,28,102,0,0,0,0,0,0,41,16,286,0,0,0,0,1,0,5,0,1,0,0,0,0,16,33,0,0,0,3362,0,2,0,0,1,0,0,14,1,2,0,0,0,0,0,0,0,0,0,0,0,0,244,93,4,0,17,0,24,33,16,0,0,2,12,50,4,4,4,10,0,0,3,24,0,0,0,0,48,8,6,0,12,0,5,312,0,0,0,0,0,9,0,0,8,0,973
"Sample-60",0,1,12,0,0,1278,0,2,5,57,0,2,14,2,0,21,12,27,4,0,16,0,57,0,32,59,299,0,0,8,7,112,371,0,0,1,3772,0,0,0,0,7,0,0,8,2,174,0,0,0,1,4,1,0,0,0,3,0,0,125,0,16,0,37,0,1,13,38,1,0,76,36,234,249,38,14,75,0,0,15,15,0,0,0,1,6,0,1,1,45,0,0,23,0,0,0,0,0,8,0,9,0,0,635
"Sample-62",0,3,103,0,0,279,0,52,10,0,0,0,0,4,0,17,6,10,0,0,0,1,114,1,571,0,47,0,0,0,0,1279,306,0,0,1,946,17,2,0,0,8,0,0,116,17,55,0,0,0,0,0,0,0,0,0,2,0,0,224,51,0,2,22,0,0,5,0,2800,0,0,61,1,424,66,10,299,0,0,8,202,0,0,0,0,14,16,3,5,25,1,3,164,0,5,0,0,1,11,11,84,0,0,62
"Sample-63",2,3,158,0,0,977,0,0,374,104,0,0,71,0,0,18,0,49,2,0,0,0,1,2,1,0,340,0,0,4,0,912,125,1,0,311,1274,0,4,0,0,0,0,0,72,18,82,0,0,0,0,0,0,0,1,0,0,0,0,613,0,38,267,999,0,0,0,80,1,0,10,44,3,1,24,4,93,0,0,5,60,0,0,0,0,36,0,2,0,684,0,2,203,0,0,0,0,0,28,0,5,0,0,909
"Sample-66",0,1,51,0,0,8,0,31,7,165,0,0,19,1,0,19,2,78,0,0,0,0,869,0,287,0,34,0,0,349,3,367,174,32,0,0,571,0,0,0,0,5,0,0,4,23,58,0,0,0,0,0,0,3,0,1,0,0,3,374,47,9,0,117,0,0,0,2,2,0,98,148,1531,1816,260,49,582,0,5,62,28,0,0,2,0,7,1,0,0,7,0,0,75,0,0,1,0,0,6,1,12,0,1,58
"Sample-67",0,1,297,1,0,22,0,96,539,31,0,0,26,0,1,21,27,18,9,4,0,0,2,16,69,25,322,1,0,166,1,1686,54,0,0,0,2008,0,17,0,0,19,0,1,83,1,16,2,0,0,0,1,0,3,0,0,19,0,0,127,94,11,23,70,0,8,1,43,1,20,0,8,40,3,35,7,52,2,0,13,109,3,0,0,9,254,4,13,1,100,1,22,414,0,0,7,0,3,156,21,36,2,0,1562
"Sample-72",26,3,1804,8,1,10,0,2,103,64,0,8,5,0,0,1,0,5,0,6,0,0,7,54,80,24,146,0,0,28,3,217,369,1,0,0,750,0,7,0,0,19,0,0,173,38,20,0,0,0,8,0,0,5,1,0,6,0,0,132,55,34,10,28,0,0,6,1,288,30,12,137,109,28,51,46,179,0,0,15,163,0,0,2,3,18,0,0,0,497,1,40,1187,2,0,0,0,1,7,0,6,39,0,1239
"Sample-73",0,7,725,1,0,22,0,24,29,0,46,1,138,1,0,11,18,87,9,0,0,0,1,2,2,0,74,460,0,4988,0,34,8,1,3,96,308,0,16,17,0,2,0,11,107,0,2,0,5,0,1,2,0,0,0,0,74,0,5,1,190,4,0,46,11,0,12,2,0,0,0,1,23,0,4,0,1,0,0,17,10,1,0,0,0,21,35,9,0,7,0,55,1016,0,142,0,0,7,14,25,101,0,0,1149
"Sample-75",0,0,4,112,0,511,0,0,7,4,0,0,0,0,0,0,1,2,0,0,0,0,3,0,0,0,26,1,0,1,0,57,7,0,0,0,215,2,0,3,0,1,1,0,2,11,9,0,0,0,0,0,0,0,0,0,1,0,0,47,0,567,0,4324,0,0,0,29,6,0,0,1493,8,4,9,2,42,0,0,1,275,0,0,0,0,2,0,0,0,110,0,1,29,0,0,0,0,0,0,0,0,0,0,21
"Sample-76",23,0,827,0,217,58,0,21,34,0,0,0,66,3,0,39,6,304,4,0,0,0,1,1,0,0,168,0,0,1,0,225,1,0,0,70,2641,0,12,0,0,14,0,0,69,1,8,1,0,0,0,6,0,0,0,0,33,0,0,134,0,22,0,29,0,1,1,0,0,0,0,37,1,0,47,11,37,0,0,12,6,20,0,0,0,94,194,11,0,206,6,29,1172,1,26,1,0,0,15,16,37,0,5,1140
