"","Bacteria","Campylobacter","Porphyromonadaceae","Bacteroidetes","Actinobacteria"
"Sample-57",2669,0,57,3704,3
"Sample-60",3202,57,33,4758,7
"Sample-62",5210,0,23,3339,10
"Sample-63",5748,104,18,3044,4
"Sample-66",5754,165,21,2734,5
"Sample-67",4347,31,48,4371,37
"Sample-72",6557,64,1,1704,26
"Sample-73",3849,0,29,5364,44
"Sample-75",7638,4,1,313,4
"Sample-76",4569,0,45,3485,26
"Sample-78",1736,7,0,282,7
"Sample-81",3543,462,6,2139,11
"Sample-82",4924,8,2,1339,68
"Sample-84",3915,1,7,3560,50
"Sample-86",4129,34,31,2551,29
"Sample-87",3468,512,40,3330,34
"Sample-89",5682,0,40,2377,19
"Sample-91",4980,177,23,2826,14
"Sample-92",5650,6,4,2058,82
"Sample-93",5043,1,35,2261,10
"Sample-98",4624,13,14,1637,27
