"","Proteobacteria","Campylobacter","Porphyromonadaceae","Bacteroidetes","Bacteroidetes.1","Bacteroidetes.2","Actinobacteria","Actinobacteria.1","Alphaproteobacteria","Firmicutes","Erysipelotrichaceae","Fusobacteriales"
"Sample-57",0.0203352995963986,0,0.00884818379385284,0,0.0454827693262962,0.529493945979509,0.000465693883886992,0.00263893200869295,0,0.381403290903446,0.00884818379385284,0.00248370071406396
"Sample-60",0.158975627860943,0.00705183718916244,0.00408264258319931,0,0.0633428182605468,0.528392923419522,0.000866015093405914,0.022763825312384,0,0.207967338859334,0.00173203018681183,0.00482494123469009
"Sample-62",0.0398970398970399,0,0.00269100269100269,0.000117000117000117,0.0873990873990874,0.298233298233298,0.00117000117000117,0.021996021996022,0,0.22031122031122,0.000585000585000585,0.327600327600328
"Sample-63",0.149828102473106,0.0115337695464123,0.00199622934457137,0,0.0516801596983476,0.291338582677165,0.000443606521015859,0.0190750804036819,0,0.465121437285128,0,0.00898303205057114
"Sample-66",0.00543349870068509,0.0194897236002835,0.00248051027639972,0,0.152137963619183,0.176706827309237,0.000590597684857075,0.0100401606425703,0.000118119536971415,0.632530120481928,0,0.00047247814788566
"Sample-67",0.0740990990990991,0.00349099099099099,0.00540540540540541,0,0.0554054054054054,0.440990990990991,0.00416666666666667,0.0112612612612613,0,0.399211711711712,0.00101351351351351,0.00495495495495495
"Sample-72",0.0148183556405354,0.00764818355640535,0.000119502868068834,0,0.0400334608030593,0.163479923518164,0.00310707456978968,0.0276051625239006,0,0.707934990439771,0.000717017208413002,0.0345363288718929
"Sample-73",0.00742042569810584,0,0.00283147822690881,0,0.0352470220660027,0.575864089045108,0.0044913102909588,0.0106424526459676,0,0.361062292520992,0.0022456551454794,0.000195274360476469
"Sample-75",0.0792353163124135,0.000503081373412149,0.000125770343353037,0,0.00389888064394416,0.0355930071689096,0.000628851716765187,0.00276694755376682,0,0.872846182870079,0,0.00440196201735631
"Sample-76",0.0404164115125536,0,0.00551132884262094,0,0.0669932639314146,0.359828536436007,0.0031843233312921,0.0095529699938763,0,0.514268218003674,0.000244947948560931,0
"Sample-78",0.014043583535109,0.00338983050847458,0,0,0.0358353510895884,0.107506053268765,0.00338983050847458,0.179661016949153,0,0.650363196125908,0.00242130750605327,0.00338983050847458
"Sample-81",0.0188586421777632,0.075762545096753,0.000983929157100689,0,0.0865857658248606,0.264512955067235,0.00180387012135126,0.048540505083634,0.00032797638570023,0.469662184322729,0,0.0329616267628731
"Sample-82",0.149519458011659,0.00126043800220577,0.000315109500551442,0,0.0236332125413581,0.187332598077832,0.010713723018749,0.216795336379392,0,0.406333700961084,0.00283598550496297,0.00126043800220577
"Sample-84",0.0919631093544137,0.000131752305665349,0.000922266139657444,0,0.0262187088274045,0.445191040843215,0.00658761528326746,0.0213438735177866,0.000263504611330698,0.40368906455863,0.000395256916996047,0.00329380764163373
"Sample-86",0.0271656271656272,0.00471240471240471,0.0042966042966043,0.000138600138600139,0.0737352737352737,0.334580734580735,0.00457380457380457,0.0117810117810118,0,0.533887733887734,0.00110880110880111,0.00401940401940402
"Sample-87",0.0592273522681384,0.0689191008211065,0.00619195046439629,0,0.077668596042536,0.373536142145645,0.0045766590389016,0.0468434513393458,0,0.355094898371248,0.000134607618791224,0.00780724188989097
"Sample-89",0.0148520780931848,0,0.00814468798658522,0,0.0574919151994251,0.249131632530842,0.00227572164331058,0.00622829081327105,0,0.661755898910049,0,0.000119774823332136
"Sample-91",0.100173999502859,0.0219985085756898,0.00285856326124783,0,0.0999254287844892,0.251429281630624,0.00173999502858563,0.0142928163062391,0,0.491300024857072,0,0.0162813820531941
"Sample-92",0.105903444743245,0.000768344218209758,0.000512229478806505,0,0.0113971059034447,0.252273018312204,0.0105007043155334,0.031886285055705,0,0.193878857728262,0.000128057369701626,0.392751952874888
"Sample-93",0.437914691943128,0.0001354096140826,0.004739336492891,0,0.0158429248476642,0.29113067027759,0.0014895057549086,0.01354096140826,0.0002708192281652,0.234529451591063,0.0004062288422478,0
"Sample-98",0.496816275819227,0.00201894704146607,0.00372728684578351,0,0.0552880882124554,0.215406118962572,0.00419319770150645,0.0163068799503028,0,0.206087901848113,0.000155303618574313,0
