"","Gammaproteobacteria","Desulfovibrionales","Betaproteobacteria","Campylobacter","Porphyromonadaceae","Bacteroidetes","Porphyromonadaceae.1","Bacteroidetes.1","Bacteroidetes.2","Bacteroidetes.3","Porphyromonadaceae.2","Porphyromonadaceae.3","Alloprevotella","Prevotella","Bacteroidetes.4","Prevotella.1","Paraprevotella","Bacteroides","Actinobacteria","Actinobacteria.1","Firmicutes","Clostridiales","Alphaproteobacteria","Firmicutes.1","Veillonellaceae","Acidaminococcaceae","Firmicutes.2","Erysipelotrichaceae","Erysipelotrichaceae.1","Fusobacterium","Leptotrichiaceae","Firmicutes.3","Clostridia","Anaerococcus","Firmicutes.4","Clostridiales.1","Clostridiales.2","Ruminococcaceae","Firmicutes.5"
"Sample-57",0.000155231294628997,0.00434647624961192,0.0158335920521577,0,0,0,0.00884818379385284,0.0443961502638932,0,0,0.000776156473144986,0.000310462589257994,0,0.00760633343682086,0,0,0,0.521887612542689,0.000465693883886992,0.00263893200869295,0,0,0,0,0.0378764358894753,0.0144365104004967,0.00325985718720894,0.00372555107109593,0.00512263272275691,0.00248370071406396,0,0,0.0127289661595778,0.000620925178515989,0.00419124495498292,0,0.0633343682086309,0,0.244954982924558
"Sample-60",0.158109612767537,0.000247432883830261,0.000618582209575653,0.00705183718916244,0.00222689595447235,0,0.00408264258319931,0.00383520969936905,0.00197946307064209,0,0.0112581962142769,0.0440430533217865,0,0.061610788073735,0,0,0.000123716441915131,0.466658418903872,0.000866015093405914,0.022763825312384,0,0,0,0.000371149325745392,0.0154645552393913,0,0.00655697142150192,0.000123716441915131,0.0016083137448967,0.00470122479277496,0.000123716441915131,0,0.0846220462699493,0.00470122479277496,0.00371149325745392,0.000123716441915131,0.0115056290981071,0,0.0809105530124954
"Sample-62",0.0326430326430326,0.00608400608400608,0.00117000117000117,0,0.000468000468000468,0,0.00269100269100269,0.00117000117000117,0,0.000117000117000117,0.0669240669240669,0.0188370188370188,0,0.185445185445185,0,0,0.000117000117000117,0.112671112671113,0.00117000117000117,0.021996021996022,0,0,0,0.000234000234000234,0.0262080262080262,0.00596700596700597,0.00280800280800281,0,0.000585000585000585,0,0.327600327600328,0,0.093015093015093,0.00772200772200772,0.0245700245700246,0,0.0401310401310401,0,0.0196560196560197
"Sample-63",0.108350892758124,0,0.0414772097149828,0.0115337695464123,0.0078740157480315,0,0.00199622934457137,0.0056559831429522,0,0,0.000332704890761894,0.037817455916602,0,0.115448597094377,0.000110901630253965,0,0.034490407008983,0.141288676943551,0.000443606521015859,0.0190750804036819,0,0.000110901630253965,0,0,0.0679826993456804,0,0.14461572585117,0,0,0.00887213042031718,0.000110901630253965,0,0.0171897526893645,0.00266163912609515,0.00720860596650771,0,0.106465565043806,0,0.11888654763225
"Sample-66",0.000944956295771321,0.00366170564611387,0.000826836758799905,0.0194897236002835,0.0023623907394283,0,0.00248051027639972,0.00921332388377038,0,0,0.0339003071107961,0.106661941885188,0,0.105480746515474,0.00377982518308528,0,0,0.067446255610678,0.000590597684857075,0.0100401606425703,0,0.000354358610914245,0.000118119536971415,0,0.0445310654382235,0.00555161823765651,0.0148830616583983,0,0,0.00023623907394283,0.00023623907394283,0,0.498936924167257,0.0307110796125679,0.0112213560122844,0.00023623907394283,0.0129931490668557,0,0.0131112686038271
"Sample-67",0.00259009009009009,0.0108108108108108,0.0606981981981982,0.00349099099099099,0.00292792792792793,0.000112612612612613,0.00540540540540541,0.00304054054054054,0.00045045045045045,0,0.0123873873873874,0.0364864864864865,0.000112612612612613,0.214752252252252,0,0,0,0.226126126126126,0.00416666666666667,0.0112612612612613,0,0.000337837837837838,0,0.00213963963963964,0.0143018018018018,0.0105855855855856,0.0117117117117117,0.000900900900900901,0.000112612612612613,0.00484234234234234,0.000112612612612613,0.00225225225225225,0.0126126126126126,0.00394144144144144,0.0137387387387387,0.00101351351351351,0.116441441441441,0,0.210135135135135
"Sample-72",0.00227055449330784,0.000239005736137667,0.0123087954110899,0.00764818355640535,0.00155353728489484,0,0.000119502868068834,0.000597514340344168,0.000717017208413002,0,0.0188814531548757,0.0182839388145315,0,0.0737332695984704,0.000119502868068834,0,0,0.0896271510516252,0.00310707456978968,0.0276051625239006,0,0.000717017208413002,0,0.000717017208413002,0.015774378585086,0.00657265774378585,0.00860420650095602,0,0.000717017208413002,0.000119502868068834,0.0344168260038241,0.00358508604206501,0.061065965583174,0.00609464627151052,0.0212715105162524,0.000597514340344168,0.214866156787763,0,0.368068833652008
"Sample-73",0.0022456551454794,0.00234329232571763,0.00283147822690881,0,0.0181605155243117,0,0.00283147822690881,0.00937316930287053,0,0,0.000390548720952939,0.0073227885178676,0.044913102909588,0.491115016598321,9.76371802382347e-05,0.000292911540714704,0.00937316930287053,0.0300722515133763,0.0044913102909588,0.0106424526459676,0.000488185901191174,0,0,0.00722515133762937,0.000585823081429408,0.0185510642452646,0.00488185901191174,0.00107400898262058,0.00117164616285882,0.000195274360476469,0,0,0.00244092950595587,0.000390548720952939,0.00263620386643234,0,0.139816442101152,0,0.184046084749072
"Sample-75",0.0783549239089423,0,0.000880392403471262,0.000503081373412149,0,0,0.000125770343353037,0.000251540686706075,0,0,0,0.00364733995723808,0.000125770343353037,0.00817507231794743,0,0,0,0.0272921645076091,0.000628851716765187,0.00276694755376682,0,0,0,0.000125770343353037,0.00591120613759276,0,0.615142749339706,0,0,0.00364733995723808,0.000754622060118224,0,0.194818261853855,0.00113193309017734,0.0347126147654383,0,0.0178593887561313,0,0.00314425858382593
"Sample-76",0.033680342927128,0.00257195345988977,0.00416411512553582,0,0.00845070422535211,0,0.00551132884262094,0.0377219840783833,0,0,0.000122473974280465,0.0206981016533987,0,0.0278015921616656,0,0,0.00857317819963258,0.323453766074709,0.0031843233312921,0.0095529699938763,0,0,0,0.00404164115125536,0.0164115125535824,0,0.00624617268830374,0.000122473974280465,0.000122473974280465,0,0,0,0.01053276178812,0.00575627679118187,0.00220453153704838,0,0.221432945499081,0,0.247642375995101
