"","Proteobacteria","Campylobacter","Bacteroidetes","Porphyromonadaceae","Bacteroidetes.1","Bacteroidetes.2","Bacteroidetes.3","Actinobacteria","Actinobacteria.1","Alphaproteobacteria","Firmicutes","Erysipelotrichaceae","Erysipelotrichaceae.1","Fusobacteriales","Clostridia","Clostridiales","Firmicutes.1"
"Sample-57",0.0203352995963986,0,0,0.00884818379385284,0,0.0454827693262962,0.529493945979509,0.000465693883886992,0.00263893200869295,0,0.00325985718720894,0.00372555107109593,0.00512263272275691,0.00248370071406396,0.0133498913380938,0.0633343682086309,0.301459174169513
"Sample-60",0.158975627860943,0.00705183718916244,0,0.00408264258319931,0,0.0633428182605468,0.528392923419522,0.000866015093405914,0.022763825312384,0,0.00655697142150192,0.000123716441915131,0.0016083137448967,0.00482494123469009,0.0893232710627242,0.0115056290981071,0.100581467277001
"Sample-62",0.0398970398970399,0,0,0.00269100269100269,0.000117000117000117,0.0873990873990874,0.298233298233298,0.00117000117000117,0.021996021996022,0,0.00280800280800281,0,0.000585000585000585,0.327600327600328,0.100737100737101,0.0401310401310401,0.0766350766350766
"Sample-63",0.149828102473106,0.0115337695464123,0,0.00199622934457137,0,0.0516801596983476,0.291338582677165,0.000443606521015859,0.0190750804036819,0,0.14461572585117,0,0,0.00898303205057114,0.0198513918154597,0.106465565043806,0.194188754574692
"Sample-66",0.00543349870068509,0.0194897236002835,0,0.00248051027639972,0,0.152137963619183,0.176706827309237,0.000590597684857075,0.0100401606425703,0.000118119536971415,0.0148830616583983,0,0,0.00047247814788566,0.529648003779825,0.0129931490668557,0.0750059059768486
"Sample-67",0.0740990990990991,0.00349099099099099,0.000112612612612613,0.00540540540540541,0,0.0552927927927928,0.440990990990991,0.00416666666666667,0.0112612612612613,0,0.0117117117117117,0.000900900900900901,0.000112612612612613,0.00495495495495495,0.0165540540540541,0.116441441441441,0.254504504504505
"Sample-72",0.0148183556405354,0.00764818355640535,0,0.000119502868068834,0,0.0400334608030593,0.163479923518164,0.00310707456978968,0.0276051625239006,0,0.00860420650095602,0,0.000717017208413002,0.0345363288718929,0.0671606118546845,0.214866156787763,0.417304015296367
"Sample-73",0.00742042569810584,0,0,0.00283147822690881,0,0.0352470220660027,0.575864089045108,0.0044913102909588,0.0106424526459676,0,0.00488185901191174,0.00107400898262058,0.00117164616285882,0.000195274360476469,0.00283147822690881,0.139816442101152,0.213532513181019
"Sample-75",0.0792353163124135,0.000503081373412149,0,0.000125770343353037,0,0.00389888064394416,0.0355930071689096,0.000628851716765187,0.00276694755376682,0,0.615142749339706,0,0,0.00440196201735631,0.195950194944032,0.0178593887561313,0.04389384983021
"Sample-76",0.0404164115125536,0,0,0.00551132884262094,0,0.0669932639314146,0.359828536436007,0.0031843233312921,0.0095529699938763,0,0.00624617268830374,0.000122473974280465,0.000122473974280465,0,0.0162890385793019,0.221432945499081,0.270300061236987
"Sample-78",0.014043583535109,0.00338983050847458,0,0,0,0.0358353510895884,0.107506053268765,0.00338983050847458,0.179661016949153,0,0.0334140435835351,0,0.00242130750605327,0.00338983050847458,0.406295399515739,0.0697336561743341,0.1409200968523
"Sample-81",0.0188586421777632,0.075762545096753,0.000163988192850115,0.000983929157100689,0,0.0864217776320105,0.264512955067235,0.00180387012135126,0.048540505083634,0.00032797638570023,0.0273860282059692,0,0,0.0329616267628731,0.293374877008855,0.0341095441128239,0.11479173499508
"Sample-82",0.149519458011659,0.00126043800220577,0,0.000315109500551442,0,0.0236332125413581,0.187332598077832,0.010713723018749,0.216795336379392,0,0.00346620450606586,0.00157554750275721,0.00126043800220577,0.00126043800220577,0.00913817551599181,0.110288325193005,0.283440995746022
