"","Bacteria","Campylobacter","Porphyromonadaceae","Bacteroidetes","Actinobacteria"
"Sample-57",0.414891963314161,0,0.00886056272345717,0.575781128555884,0.000466345406497746
"Sample-60",0.397418393943155,0.00707459352116172,0.00409581730172521,0.590542385503289,0.000868809730668983
"Sample-62",0.607084595665346,0,0.00268002796550921,0.389070146818923,0.00116522955022139
"Sample-63",0.644539134335053,0.0116618075801749,0.00201838977349181,0.341332137250505,0.000448531060775959
"Sample-66",0.662979605945385,0.0190114068441065,0.00241963359834082,0.315013250374467,0.000576103237700196
"Sample-67",0.492076069730586,0.00350916911931175,0.00543355218474077,0.494792845822957,0.00418836314240435
"Sample-72",0.785081417624521,0.00766283524904215,0.000119731800766284,0.204022988505747,0.00311302681992337
"Sample-73",0.414494938617273,0,0.00312298083135904,0.577643764807237,0.00473831574413095
"Sample-75",0.959547738693467,0.00050251256281407,0.000125628140703518,0.039321608040201,0.00050251256281407
"Sample-76",0.562338461538462,0,0.00553846153846154,0.428923076923077,0.0032
"Sample-78",0.854330708661417,0.00344488188976378,0,0.138779527559055,0.00344488188976378
"Sample-81",0.575068982308067,0.0749878266515176,0.000973867878591138,0.347183898717741,0.00178542444408375
"Sample-82",0.776533669768175,0.00126163065762498,0.000315407664406245,0.211165431319981,0.0107238605898123
"Sample-84",0.519713261648746,0.000132749236691889,0.000929244656843223,0.472587282623125,0.00663746183459445
"Sample-86",0.60953646294656,0.00501919102450546,0.00457632122822557,0.376586950103336,0.00428107469737231
"Sample-87",0.469664138678223,0.0693391115926327,0.00541711809317443,0.450975081256771,0.00460455037919827
"Sample-89",0.699926090169993,0,0.00492732200049273,0.292806109879281,0.00234047795023405
"Sample-91",0.620947630922693,0.022069825436409,0.00286783042394015,0.352369077306733,0.00174563591022444
"Sample-92",0.724358974358974,0.000769230769230769,0.000512820512820513,0.263846153846154,0.0105128205128205
"Sample-93",0.686122448979592,0.000136054421768707,0.00476190476190476,0.307619047619048,0.00136054421768707
"Sample-98",0.732224861441014,0.00205859065716548,0.00221694378463975,0.259224069675376,0.00427553444180523
