oldGroups,Phylum,Class,Order,Family,Genus
Acidaminococcus intestinalis/i et al.,Bacteria,Firmicutes,Firmicutes,Acidaminococcaceae,Acidaminococcaceae
Actinobacteria,Actinobacteria,Actinobacteria,Actinobacteria,Actinobacteria,Actinobacteria
Actinomyces europaeus,Bacteria,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Actinomycetales.1
Actinomyces neuii,Bacteria,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Actinomycetales.1
Actinomyces odontolyticus,Bacteria,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Actinomycetales.1
Actinomyces turicensis,Bacteria,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Actinomycetales.1
Actinomycetales,Bacteria,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Actinomycetales
Adlercreutzia celatus/equolifaciens,Actinobacteria,Actinobacteria,Actinobacteria,Actinobacteria,Actinobacteria
Aerococcus christensenii,Bacteria,Firmicutes,Bacilli,Bacilli,Bacilli
Aggregatibacter segnis,Bacteria,Proteobacteria,Proteobacteria,Gammaproteobacteria,Pasteurellaceae
Alistipes,Bacteroidetes,Bacteroidetes.2,Bacteroidetes.1,Bacteroidetes.1,Alistipes
Alistipes finegoldii,Bacteroidetes,Bacteroidetes.2,Bacteroidetes.1,Bacteroidetes.1,Bacteroidetes.1
Alistipes finegoldii/onderdonkii,Bacteroidetes,Bacteroidetes.2,Bacteroidetes.1,Bacteroidetes.1,Bacteroidetes.1
Alistipes indistinctus,Bacteroidetes,Bacteroidetes.2,Bacteroidetes.1,Bacteroidetes.1,Alistipes
Alistipes inops,Bacteroidetes,Bacteroidetes.2,Bacteroidetes.1,Bacteroidetes.1,Bacteroidetes.1
Alistipes marseilloanorexicus,Bacteroidetes,Bacteroidetes.2,Bacteroidetes.1,Bacteroidetes.1,Alistipes
Alistipes massiliensis,Bacteroidetes,Bacteroidetes.2,Bacteroidetes.1,Bacteroidetes.1,Bacteroidetes.1
Alistipes obesi,Bacteroidetes,Bacteroidetes.2,Bacteroidetes.1,Bacteroidetes.1,Bacteroidetes.1
Alistipes putredinis,Bacteroidetes,Bacteroidetes.2,Bacteroidetes.1,Bacteroidetes.1,Bacteroidetes.1
Alistipes shahii,Bacteroidetes,Bacteroidetes.2,Bacteroidetes.1,Bacteroidetes.1,Bacteroidetes.1
Allisonella histaminiformans,Bacteria,Firmicutes,Firmicutes,Veillonellaceae,Veillonellaceae
Alloscardovia omnicolens,Bacteria,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Bifidobacteriaceae
Alphaproteobacteria,Bacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria
Anaerococcus,Bacteria,Firmicutes,Clostridia,Anaerococcus,Anaerococcus
Anaerococcus.1,Bacteria,Firmicutes,Clostridia,Anaerococcus,Anaerococcus
Anaerococcus.2,Bacteria,Firmicutes,Clostridia,Anaerococcus,Anaerococcus
Anaerococcus.3,Bacteria,Firmicutes,Clostridia,Anaerococcus,Anaerococcus
Anaerococcus.4,Bacteria,Firmicutes,Clostridia,Anaerococcus,Anaerococcus
Anaerococcus lactolyticus,Bacteria,Firmicutes,Clostridia,Anaerococcus,Anaerococcus
Anaerococcus murdochii,Bacteria,Firmicutes,Clostridia,Anaerococcus,Anaerococcus
Anaerococcus octavius,Bacteria,Firmicutes,Clostridia,Anaerococcus,Anaerococcus
Anaerococcus prevotii/tetradius,Bacteria,Firmicutes,Clostridia,Anaerococcus,Anaerococcus
Anaerococcus provenciensis,Bacteria,Firmicutes,Clostridia,Anaerococcus,Anaerococcus
Anaerococcus senegalensis,Bacteria,Firmicutes,Clostridia,Anaerococcus,Anaerococcus
Anaerococcus vaginalis,Bacteria,Firmicutes,Clostridia,Anaerococcus,Anaerococcus
Anaerostipes,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Clostridiales
Anaerostipes hadrus,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Clostridiales
Anaerotruncus colihominis,Bacteria,Firmicutes,Clostridiales,Clostridiales,Ruminococcaceae.2
Arcanobacterium,Bacteria,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Actinomycetales.1
Arthrobacter albus/cumminsii,Bacteria,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Actinomycetales.1
Atopobium deltae,Actinobacteria,Actinobacteria,Actinobacteria,Actinobacteria,Coriobacteriaceae
Atopobium fossor/minutum,Actinobacteria,Actinobacteria,Actinobacteria,Actinobacteria,Coriobacteriaceae
Atopobium vaginae,Actinobacteria,Actinobacteria,Actinobacteria,Actinobacteria,Coriobacteriaceae
Bacteroidales,Bacteroidetes,Bacteroidetes.2,Bacteroidetes.1,Bacteroidales,Bacteroidales
Bacteroides,Bacteroidetes,Bacteroidetes.2,Bacteroidales,Bacteroides,Bacteroides
Bacteroides.1,Bacteroidetes,Bacteroidetes.2,Bacteroidales,Bacteroides,Bacteroides
Bacteroides.2,Bacteroidetes,Bacteroidetes.2,Bacteroidales,Bacteroides,Bacteroides
Bacteroides.3,Bacteroidetes,Bacteroidetes.2,Bacteroidales,Bacteroides,Bacteroides
Bacteroides caccae,Bacteroidetes,Bacteroidetes.2,Bacteroidales,Bacteroides,Bacteroides
Bacteroides cellulosilyticus/t et al.,Bacteroidetes,Bacteroidetes.2,Bacteroidales,Bacteroides,Bacteroides
Bacteroides clarus,Bacteroidetes,Bacteroidetes.2,Bacteroidales,Bacteroides,Bacteroides
Bacteroides coprocola,Bacteroidetes,Bacteroidetes.2,Bacteroidales,Bacteroides,Bacteroides
Bacteroides dorei,Bacteroidetes,Bacteroidetes.2,Bacteroidales,Bacteroides,Bacteroides
Bacteroides dorei/fragilis,Bacteroidetes,Bacteroidetes.2,Bacteroidales,Bacteroides,Bacteroides
Bacteroides dorei/stercoris,Bacteroidetes,Bacteroidetes.2,Bacteroidales,Bacteroides,Bacteroides
Bacteroides dorei/vulgatus,Bacteroidetes,Bacteroidetes.2,Bacteroidales,Bacteroides,Bacteroides
Bacteroides eggerthii,Bacteroidetes,Bacteroidetes.2,Bacteroidales,Bacteroides,Bacteroides
Bacteroides faecichinchillae/f et al.,Bacteroidetes,Bacteroidetes.2,Bacteroidales,Bacteroides,Bacteroides
Bacteroides finegoldii,Bacteroidetes,Bacteroidetes.2,Bacteroidales,Bacteroides,Bacteroides
Bacteroides massiliensis,Bacteroidetes,Bacteroidetes.2,Bacteroidales,Bacteroides,Bacteroides
Bacteroides ovatus,Bacteroidetes,Bacteroidetes.2,Bacteroidales,Bacteroides,Bacteroides
Bacteroides ovatus.1,Bacteroidetes,Bacteroidetes.2,Bacteroidales,Bacteroides,Bacteroides
Bacteroides ovatus.2,Bacteroidetes,Bacteroidetes.2,Bacteroidales,Bacteroides,Bacteroides
Bacteroides ovatus/xylanisolvens,Bacteroidetes,Bacteroidetes.2,Bacteroidales,Bacteroides,Bacteroides
Bacteroides plebeius,Bacteroidetes,Bacteroidetes.2,Bacteroidales,Bacteroides,Bacteroides plebeius
Bacteroides plebeius.1,Bacteroidetes,Bacteroidetes.2,Bacteroidales,Bacteroides,Bacteroides plebeius
Bacteroides salyersiae,Bacteroidetes,Bacteroidetes.2,Bacteroidales,Bacteroides,Bacteroides
Bacteroides uniformis,Bacteroidetes,Bacteroidetes.2,Bacteroidales,Bacteroides,Bacteroides
Bacteroides uniformis.1,Bacteroidetes,Bacteroidetes.2,Bacteroidales,Bacteroides,Bacteroides
Bacteroides vulgatus,Bacteroidetes,Bacteroidetes.2,Bacteroidales,Bacteroides,Bacteroides
Bacteroides vulgatus.1,Bacteroidetes,Bacteroidetes.2,Bacteroidales,Bacteroides,Bacteroides
Bacteroidetes,Bacteroidetes,Bacteroidetes,Bacteroidetes,Bacteroidetes,Bacteroidetes
Bacteroidetes.1,Bacteroidetes,Bacteroidetes.1,Bacteroidetes.2,Bacteroidetes.2,Bacteroidetes.2
Barnesiella,Bacteroidetes,Bacteroidetes.2,Bacteroidales,Porphyromonadaceae,Porphyromonadaceae.1
Barnesiella.1,Bacteroidetes,Bacteroidetes.2,Bacteroidales,Porphyromonadaceae,Porphyromonadaceae.1
Barnesiella.2,Bacteroidetes,Bacteroidetes.2,Bacteroidales,Porphyromonadaceae,Porphyromonadaceae.1
Barnesiella.3,Bacteroidetes,Bacteroidetes.2,Bacteroidales,Porphyromonadaceae,Porphyromonadaceae.1
Barnesiella.4,Bacteroidetes,Bacteroidetes.2,Bacteroidales,Porphyromonadaceae,Porphyromonadaceae.1
Betaproteobacteria,Bacteria,Proteobacteria,Proteobacteria,Betaproteobacteria,Betaproteobacteria
Bifidobacterium adolescentis/f et al.,Bacteria,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Bifidobacteriaceae
Bifidobacterium bifidum,Bacteria,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Bifidobacteriaceae
Bifidobacterium breve/kashiwan et al.,Bacteria,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Bifidobacteriaceae
Bifidobacterium catenulatum/ga et al.,Bacteria,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Bifidobacteriaceae
Bilophila,Bacteria,Proteobacteria,Proteobacteria,Desulfovibrionales,Desulfovibrionales
Bilophila.1,Bacteria,Proteobacteria,Proteobacteria,Desulfovibrionales,Desulfovibrionales
Bilophila wadsworthia,Bacteria,Proteobacteria,Proteobacteria,Desulfovibrionales,Desulfovibrionales
Blautia,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Lachnospiraceae.1
Blautia.1,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Lachnospiraceae.1
Blautia.2,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Lachnospiraceae.1
Blautia.3,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Lachnospiraceae.1
Blautia.4,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Lachnospiraceae.1
Blautia.5,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Lachnospiraceae.1
Blautia.6,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Lachnospiraceae.1
Blautia.7,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Lachnospiraceae.1
Blautia.8,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Lachnospiraceae.1
Blautia faecis,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Lachnospiraceae.1
Blautia hansenii/producta,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Lachnospiraceae.1
Blautia obeum,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Lachnospiraceae.1
Blautia obeum.1,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Lachnospiraceae.1
Blautia obeum/wexlerae,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Lachnospiraceae.1
Butyricicoccus,Bacteria,Firmicutes,Clostridiales,Clostridiales,Ruminococcaceae.6
Butyricicoccus.1,Bacteria,Firmicutes,Clostridiales,Clostridiales,Ruminococcaceae.6
Butyricicoccus.2,Bacteria,Firmicutes,Clostridiales,Clostridiales,Ruminococcaceae.6
Butyricimonas,Porphyromonadaceae,Porphyromonadaceae,Porphyromonadaceae,Porphyromonadaceae.1,Butyricimonas
Butyricimonas.1,Porphyromonadaceae,Porphyromonadaceae,Porphyromonadaceae,Porphyromonadaceae.1,Butyricimonas
Butyricimonas.2,Porphyromonadaceae,Porphyromonadaceae,Porphyromonadaceae,Porphyromonadaceae.1,Butyricimonas
Butyricimonas.3,Porphyromonadaceae,Porphyromonadaceae,Porphyromonadaceae,Porphyromonadaceae.1,Butyricimonas
Butyricimonas faecihominis,Porphyromonadaceae,Porphyromonadaceae,Porphyromonadaceae,Porphyromonadaceae.1,Butyricimonas
Butyricimonas paravirosa,Porphyromonadaceae,Porphyromonadaceae,Porphyromonadaceae,Porphyromonadaceae.1,Butyricimonas
Campylobacter,Campylobacter,Campylobacter,Campylobacter,Campylobacter,Campylobacter
Campylobacter hominis,Campylobacter,Campylobacter,Campylobacter,Campylobacter,Campylobacter
Campylobacter ureolyticus,Campylobacter,Campylobacter,Campylobacter,Campylobacter,Campylobacter
Clostridia,Bacteria,Firmicutes,Clostridia,Clostridia,Clostridia
Clostridiales,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Clostridiales.1
Clostridiales.1,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Clostridiales.1
Clostridiales.10,Bacteria,Firmicutes,Firmicutes,Firmicutes.2,Firmicutes.3
Clostridiales.11,Bacteria,Firmicutes,Firmicutes,Firmicutes.2,Firmicutes.3
Clostridiales.12,Bacteria,Firmicutes,Firmicutes,Firmicutes.2,Firmicutes.3
Clostridiales.13,Bacteria,Firmicutes,Firmicutes,Firmicutes.2,Firmicutes.3
Clostridiales.14,Bacteria,Firmicutes,Firmicutes,Firmicutes.2,Firmicutes.3
Clostridiales.15,Bacteria,Firmicutes,Firmicutes,Firmicutes.2,Firmicutes.3
Clostridiales.16,Bacteria,Firmicutes,Firmicutes,Firmicutes.2,Firmicutes.3
Clostridiales.17,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Clostridiales.5
Clostridiales.18,Bacteria,Firmicutes,Firmicutes,Firmicutes.3,Clostridiales.5
